#{"version": "3.2", "pandas_kwargs": {"dtype": {"comment": "str"}, "keep_default_na": false, "index_col": [0, 1], "comment": "#"}}
thread_id,frame_id,function_id,caller_frame_id,cpu_time_start,cpu_time,wall_time_start,wall_time,function_name,comment
0,2,2,13397,171106,15195280,496860818198423,15196015,load_cam_imu,
0,1,1,0,159855,15209381,496860818190904,15204965,_p_one_iteration,1
0,4,3,13397,15378025,2022,496860833404630,2189,load_imu,
0,3,1,0,15374693,6505,496860833401514,6292,,1
0,6,3,13397,15385595,1462,496860833412160,1451,,
0,5,1,0,15384403,3509,496860833411067,3403,,1
0,8,3,13397,15390186,1558,496860833416785,1539,,
0,7,1,0,15389109,3569,496860833415694,3567,,1
0,10,3,13397,15394924,1421,496860833421537,1389,,
0,9,1,0,15393984,3267,496860833420556,3290,,1
0,12,3,13397,15399566,1470,496860833426153,1480,,
0,11,1,0,15398545,3427,496860833425186,3680,,1
0,14,3,13397,15405012,2643,496860833432126,2500,,
0,13,1,0,15403579,5382,496860833430198,5820,,1
0,16,3,13397,15412540,5340,496860833440144,5587,,
0,15,1,0,15410856,9218,496860833438174,12414,,1
0,18,3,13397,15426401,1756,496860833453501,2678,,
0,17,1,0,15425403,5102,496860833452062,5666,,1
0,20,3,13397,15433919,2937,496860833461267,2495,,
0,19,1,0,15432365,5721,496860833459587,5307,,1
0,22,2,13397,15450798,15205691,496860833477395,15224660,,
0,21,1,0,15449256,15228047,496860833476044,15229211,,1
0,24,3,13397,30706296,5018,496860848735485,3826,,
0,23,1,0,30702659,10976,496860848730093,10915,,1
0,26,3,13397,30721595,3006,496860848748151,2996,,
0,25,1,0,30719022,6991,496860848746135,6431,,1
0,28,3,13397,30728713,1286,496860848755250,2063,,
0,27,1,0,30727151,4569,496860848753971,4246,,1
0,30,3,13397,30735030,3531,496860848761629,3909,,
0,29,1,0,30733320,7310,496860848759880,7249,,1
0,32,3,13397,30742758,3728,496860848769257,3834,,
0,31,1,0,30741944,5757,496860848768447,5751,,1
0,34,3,13397,30751290,3353,496860848777938,3260,,
0,33,1,0,30750063,5518,496860848776983,5461,,1
0,36,3,13397,30758961,4972,496860848786078,4440,,
0,35,1,0,30757391,8065,496860848784618,8315,,1
0,38,3,13397,30770557,2005,496860848797670,1673,,
0,37,1,0,30767987,5715,496860848795518,6289,,1
0,40,3,13397,30779701,3665,496860848806852,4117,,
0,39,1,0,30777803,8900,496860848805236,8904,,1
0,42,2,13397,30793711,14607765,496860848820594,14668667,,
0,41,1,0,30792336,14611248,496860848819131,14671579,,1
0,44,3,13397,45410012,1615,496860863497354,1332,,
0,43,1,0,45408784,3956,496860863495871,3921,,1
0,46,3,13397,45424994,2016,496860863512632,1460,,
0,45,1,0,45414519,13436,496860863511000,4279,,1
0,48,3,13397,45430677,1761,496860863517736,1789,,
0,47,1,0,45429435,3881,496860863516532,3830,,1
0,50,3,13397,45435990,1525,496860863523384,1238,,
0,49,1,0,45435100,3578,496860863522150,3598,,1
0,52,3,13397,45441003,1137,496860863528068,1390,,
0,51,1,0,45439807,3433,496860863526867,3427,,1
0,54,3,13397,45445599,1440,496860863532633,1484,,
0,53,1,0,45444395,3500,496860863531786,3162,,1
0,56,3,13397,45450184,1532,496860863537213,1535,,
0,55,1,0,45449318,3218,496860863536375,3228,,1
0,58,3,13397,45454822,1393,496860863542147,1100,,
0,57,1,0,45453932,3132,496860863540988,3456,,1
0,60,3,13397,45459363,1385,496860863546700,1128,,
0,59,1,0,45458483,3427,496860863545508,3459,,1
0,62,2,13397,45464341,9753745,496860863551397,15494414,,
0,61,1,0,45463008,9756982,496860863550073,15496893,,1
0,64,3,13397,55225478,1500,496860879052441,1494,,
0,63,1,0,55224248,3635,496860879051209,3634,,1
0,66,3,13397,55230848,2056,496860879057800,2059,,
0,65,1,0,55229909,3905,496860879056857,3905,,1
0,68,3,13397,55235953,1417,496860879062902,1437,,
0,67,1,0,55235023,3338,496860879061971,3359,,1
0,70,3,13397,55240837,1248,496860879067795,1247,,
0,69,1,0,55239894,3108,496860879066852,3110,,1
0,72,3,13397,55245206,1336,496860879072175,1327,,
0,71,1,0,55244253,3209,496860879071215,3217,,1
0,74,3,13397,55249760,1288,496860879076723,1285,,
0,73,1,0,55248736,3220,496860879075702,3220,,1
0,76,3,13397,55254167,1308,496860879081121,1316,,
0,75,1,0,55253211,3182,496860879080171,3190,,1
