imu_to_display,predict_to_display,render_to_display,wall_time
1601958721980.2327,0.37449,7.820694,0.0
1601958721996.2075,0.079813,23.795543,15.974849
1601958722011.5496,0.04641,39.137564,31.31687
1601958722026.9421,0.085276,54.530106,46.709412
1601958722042.3196,0.054357,12.614226,62.086903
1601958722057.5198,0.05807,27.814422,77.287099
1601958722072.6821,0.051523,0.534755,92.449476
1601958722088.2114,0.203541,1.522164,107.978832
1601958722103.5173,0.083671,16.827968,123.284636
1601958722118.854,0.052127,0.519387,138.62123
1601958722137.1348,3.124748,18.80037,156.902213
1601958722152.5273,0.077356,2.751229,172.294553
1601958722168.8083,1.139441,19.032466,188.57579
1601958722186.6257,2.722531,12.129277,206.393128
1601958722202.062,0.050959,1.214104,221.829441
1601958722220.3499,3.163313,19.501812,240.117149
1601958722235.8254,0.074102,2.532178,255.592688
1601958722252.0286,1.073213,18.735431,271.795941
1601958722270.1704,2.712805,12.216637,289.937608
1601958722285.6646,0.094266,15.231496,305.431906
1601958722303.2744,2.459537,17.454012,323.041762
1601958722318.7195,0.106005,1.100223,338.486707
1601958722336.285,2.445829,18.665852,356.052336
1601958722354.1082,2.484701,3.324219,373.875498
1601958722369.6616,0.176804,18.87769,389.428969
1601958722385.4104,0.641183,14.908847,405.177705
1601958722403.1719,2.642154,12.080844,422.939228
1601958722418.8179,0.151027,0.927893,438.585227
1601958722436.731,2.750106,18.840818,456.498152
1601958722452.2559,0.061499,0.960814,472.023138
1601958722469.8997,2.473615,18.604659,489.666983
1601958722485.5083,0.277195,1.602931,505.27556
1601958722503.117,2.514482,19.211738,522.884367
1601958722518.7922,0.31017,1.471663,538.559613
1601958722537.134,3.186669,19.813419,556.901369
1601958722553.987,0.063681,3.722343,573.754387
1.24478,0.094643,18.989948,589.021992
5.157075,2.742338,12.349165,606.935693
3.614923,0.072428,18.119212,622.392445
5.567286,2.807913,12.564935,640.398404
2.082236,0.078077,17.873453,655.862163
4.754507,2.610314,2.849523,673.599705
2.152142,0.059235,18.244018,688.9942
5.196139,2.841173,12.561322,706.999318
3.863552,0.190592,0.271077,722.641024
6.441817,2.44274,17.877342,740.247289
2.891506,0.060361,1.035942,755.704464
5.54511,2.515419,18.691804,773.360326
1.170246,0.197916,1.810939,788.920011
4.745857,2.461137,19.415774,806.524846
3.177025,0.130681,2.268572,821.988971
5.889152,2.50888,19.934748,839.655147
5.800766,2.540548,3.852765,857.546582
2.177643,0.06754,19.262523,872.95634
5.700929,2.475428,3.048889,890.528685
3.229086,0.122547,18.556693,906.036489
5.884706,2.495659,2.89358,923.670711
2.345454,0.062853,18.322029,939.09916
5.04507,2.587897,12.302662,956.852168
2.140456,0.09845,18.570591,972.954664
3.819131,2.536126,3.1142,990.617045
8.910257,5.772729,24.223233,1011.726078
2.112183,0.059103,0.914414,1026.92704
2.311417,0.062962,1.133807,1042.11638
1.541263,0.083055,0.609236,1057.321694
1.751143,0.059921,15.785441,1072.497899
5.399473,2.544358,2.775143,1090.204093
1.887565,0.107934,18.239534,1105.668484
6.795904,2.762421,12.243717,1123.610057
2.258601,0.0581,18.048242,1139.046432
5.161727,2.753569,12.286632,1156.978467
1.643284,0.088657,18.101805,1172.433694
4.843914,3.005394,12.445025,1190.611479
2.259632,0.087365,18.432243,1206.046454
5.259034,2.841565,3.083254,1224.061714
1.757734,0.148089,18.600237,1239.578697
4.896139,0.947093,8.404736,1255.663135
4.494953,2.480913,17.914236,1273.280716
3.132562,0.28956,2.543793,1288.911952
5.883021,2.590309,20.291018,1306.659177
2.566541,0.32864,2.474966,1322.346619
5.378387,2.436724,20.283798,1340.155451
1.802775,0.07841,2.670782,1355.570096
5.455528,2.531395,20.346467,1373.245781
5.244681,2.474663,4.38495,1391.053867
3.627987,0.045688,19.762927,1406.431844
4.147454,2.410255,3.021278,1423.951647
2.170848,0.237686,18.993675,1439.924044
4.969378,2.52042,3.481491,1457.794482
1.467614,0.084754,18.972595,1473.285586
6.049563,2.466709,17.481629,1490.859239
3.568625,0.091511,1.386893,1506.320818
5.169551,2.486488,19.042225,1523.97615
4.622952,0.068118,1.395289,1539.403022
4.212036,2.472621,18.989219,1556.996952
1.652776,0.083581,2.712587,1572.436714
4.255405,2.45234,20.297301,1590.021428
4.082942,2.526056,4.595437,1607.923394
2.514683,0.061213,19.992132,1623.320089
5.523722,2.885961,14.76261,1641.334783
3.013638,0.072608,1.417627,1656.792407
3.604745,2.448773,19.013086,1674.387866
2.040273,0.065382,2.057613,1689.813707
5.736853,2.613058,19.78904,1707.545134
2.242899,0.081725,1.236505,1723.001922
4.80009,2.47619,18.826503,1740.59192
3.247262,0.095907,1.510012,1756.052679
5.979719,2.61415,19.26549,1773.808157
3.520947,0.102865,1.057916,1789.298086
4.144499,2.501444,18.723241,1806.963411
4.72117,0.228879,2.722726,1822.545358
4.476821,2.651015,20.51281,1840.335442
1.359682,0.412494,1.193479,1856.12275
5.994839,2.52045,18.852034,1873.781305
3.493401,0.16341,2.6708,1889.325413
5.303065,2.657776,20.463454,1907.118067
1.552164,0.247721,1.327025,1922.732527
4.605443,2.543361,19.000474,1940.405976
2.239259,0.255578,1.229697,1956.030967
5.077407,2.669513,19.074575,1973.875845
2.586461,0.090184,1.100599,1989.350138
5.204617,2.54056,18.78047,2007.030009
2.848737,0.284298,2.863134,2022.652221
4.618995,2.655593,20.649859,2040.438946
4.297323,0.26346,1.213415,2056.084588
4.996297,2.612314,18.961613,2073.832786
3.472644,0.094933,2.664002,2089.302999
4.214082,2.642688,20.40079,2107.039787
2.968211,0.279627,1.402261,2122.752454
4.626904,2.503224,19.033494,2140.383687
3.19096,0.238029,1.229186,2155.969618
4.888792,2.5565,18.931383,2173.671815
3.706572,2.442581,4.96912,2191.459007
1.072375,0.100522,20.399376,2206.889263
3.709512,2.51875,2.72846,2224.517018
3.082118,0.06183,18.132581,2239.921139
3.708537,2.450223,3.034024,2257.49211
3.144622,0.103491,18.472218,2272.930304
5.743854,2.478526,14.268192,2290.557272
2.348673,0.218044,0.646324,2306.160829
3.94902,2.431989,18.221302,2323.735807
2.530477,0.230836,2.966583,2339.33276
7.031868,2.423655,20.509348,2356.875525
5.063941,2.605653,5.111357,2374.846627
1.473771,0.072039,20.545256,2390.280526
5.060736,2.465123,14.337124,2407.865794
1.47915,0.048872,17.792785,2423.261437
5.411109,2.866746,14.592019,2441.250599
0.885713,0.070429,1.431058,2456.69463
5.4662,2.465638,19.00861,2474.272182
0.896469,0.051246,1.734561,2489.67482
4.628887,2.595261,19.481264,2507.421523
1.220718,0.191684,1.437339,2522.975308
4.748729,2.433573,18.990935,2540.528904
2.382281,0.309152,3.035219,2556.164975
5.213086,2.536081,20.904684,2574.03444
1.871905,0.263602,1.725385,2589.661261
4.370053,2.409384,19.254181,2607.190057
2.068936,0.306856,1.270165,2622.854276
4.948624,2.578098,19.182328,2640.766439
1.621514,0.279184,1.628438,2656.40819
6.155356,2.439454,19.195071,2673.974823
1.789841,0.24811,1.413393,2689.576447
