imu_to_display,predict_to_display,render_to_display,wall_time
1605916916586.3618,13.004245,13.348364,0.0
1605916916595.5332,0.568913,22.519871,9.171507
1605916916603.7878,0.588529,0.818801,17.426038
1605916916614.259,2.786956,11.289939,27.897176
1605916916623.0242,1.078307,6.31968,36.662373
1605916916631.229,0.514848,14.524358,44.867051
1605916916640.405,1.494058,3.23127,54.043159
1605916916648.6062,0.515769,11.432614,62.244503
1605916916657.9517,1.659987,3.404142,71.590007
1605916916666.2217,0.576612,11.673969,79.859834
1605916916674.8125,0.929152,2.528268,88.450676
1605916916682.9814,0.519101,10.697167,96.619575
1605916916691.417,0.748991,2.531183,105.055209
1605916916699.589,0.516626,10.703205,113.227231
1605916916708.131,0.855426,2.559901,121.769362
1605916916716.3328,0.514905,10.761416,129.970877
1605916916725.9863,1.993549,3.696272,139.624517
1605916916734.2278,0.557595,11.937604,147.865849
1605916916743.3616,1.444057,3.096711,156.999779
1605916916751.5625,0.512912,11.297557,165.200625
1605916916760.9753,1.716545,3.149303,174.613609
1605916916769.1475,0.512289,11.321164,182.78547
1605916916777.8584,1.056972,3.075249,191.496549
1605916916786.0613,0.515034,11.278098,199.699398
1605916916795.347,1.597288,3.286694,208.985216
1605916916803.5466,0.531003,11.486261,217.184783
1605916916812.6943,1.496778,3.052002,226.332537
1605916916822.612,2.268352,12.969681,236.250216
1605916916830.9194,0.657669,4.121472,244.557515
1605916916840.0098,1.441429,3.258332,253.64789
1605916916848.1418,0.480272,11.390531,261.780089
1605916916856.476,0.675114,2.27061,270.114336
1605916916864.724,0.544945,10.518627,278.362353
1605916916873.2537,0.869281,1.734384,286.89188
1605916916881.4036,0.491289,9.884345,295.041841
1605916916889.7605,0.668728,3.001154,303.398795
1605916916897.954,0.50569,11.194484,311.592125
1605916916906.1797,0.537202,2.206959,319.817881
1605916916914.2693,0.430319,10.296379,327.907301
1605916916923.3503,1.41967,2.956953,336.988406
1605916916931.5552,0.52523,11.161747,345.1932
1605916916939.8018,0.585148,2.138575,353.440103
1605916916947.9648,0.503064,10.301555,361.603083
1605916916956.897,1.27458,3.03364,370.535232
1605916916965.0422,0.486549,11.178714,378.680306
1605916916973.2124,0.510164,2.099893,386.850638
1605916916981.3474,0.480616,10.234681,394.985426
1605916916989.5188,0.488819,1.971614,403.156997
1605916916998.0386,0.701391,10.491424,411.676807
1605916917006.5188,0.786425,1.834482,420.156895
1605916917014.7078,0.494483,10.02351,428.345923
1605916917023.3572,0.955161,3.47121,436.995264
1605916917031.6487,0.598036,2.899375,445.286917
1605916917039.8367,0.494079,11.087451,453.474993
1605916917049.0508,1.501816,3.199021,462.689178
1605916917057.18,0.480014,11.327849,470.818006
1605916917067.7073,2.385457,3.274257,481.345481
1605916917075.9084,0.494007,11.475333,489.546557
1605916917084.3567,0.744649,3.260542,497.994688
1605916917092.5515,0.501487,11.455452,506.189598
1605916917101.3757,1.131069,2.916813,515.013944
1605916917109.54,0.496364,11.081173,523.178304
