imu_to_display,predict_to_display,render_to_display,wall_time
1605920071609.0422,20.142735,20.448184,0.0
1605920071631.6526,11.358563,43.058559,22.610375
1605920071639.8425,0.520476,51.248579,30.800395
1605920071648.081,0.561467,59.487032,39.038848
1605920071656.275,0.532407,5.052319,47.232642
1605920071664.485,0.518828,4.362192,55.442775
1605920071672.74,0.597582,2.207214,63.69789
1605920071680.9456,0.519229,2.472787,71.903458
1605920071689.1543,0.517335,2.25298,80.112067
1605920071698.9001,2.089858,3.760194,89.857986
1605920071707.0806,0.521582,11.940367,98.038159
1605920071723.2004,4.715169,28.060462,114.158254
1605920071731.3928,0.526627,3.13748,122.350675
1605920071740.2788,1.275476,1.327014,131.236472
1605920071748.4585,0.526514,9.506806,139.416264
1605920071756.662,0.516347,2.217469,147.619694
1605920071764.8398,0.519781,2.158492,155.797648
1605920071773.0117,0.516233,2.250785,163.969453
1605920071781.193,0.532866,2.072669,172.150973
1605920071789.4048,0.55002,2.144499,180.362363
1605920071797.612,0.522478,2.333133,188.569941
1605920071805.821,0.51945,2.281687,196.778613
1605920071814.0273,0.519648,2.24662,204.985145
1605920071822.753,1.034255,2.639442,213.710868
1605920071831.7524,1.301117,3.316929,222.710315
1605920071840.0647,0.595932,11.629136,231.022522
1605920071848.4111,0.645125,1.737259,239.368866
1605920071856.8083,0.706254,10.13471,247.766317
1605920071865.2317,0.748222,1.103414,256.189441
1605920071873.4558,0.555152,9.327614,264.413641
1605920071881.702,0.570841,3.723319,272.659576
1605920071889.9858,0.569732,2.325945,280.943482
1605920071898.2568,0.564268,2.227763,289.214644
1605920071906.5098,0.572194,2.341219,297.467703
1605920071914.8826,0.666536,2.379086,305.840278
1605920071923.1794,0.596135,10.676132,314.137324
1605920071931.4482,0.57794,6.671325,322.406047
1605920071939.712,0.579408,14.934946,330.669668
1605920071947.963,0.57071,6.422725,338.920586
1605920071956.2192,0.568231,2.309517,347.17697
1605920071964.493,0.564231,2.426629,355.450664
1605920071973.653,1.479061,3.226237,364.610655
1605920071981.9614,0.604316,11.534782,372.9192
1605920071990.4128,0.66455,19.986167,381.370585
1605920071998.673,0.552695,8.488079,389.63093
1605920072006.9307,0.551168,3.783828,397.888575
1605920072015.1921,0.552541,2.370197,406.149857
1605920072023.4143,0.546521,2.358672,414.372155
1605920072031.6724,0.550075,2.176139,422.630146
1605920072039.936,0.547118,2.390442,430.893852
1605920072048.2354,0.584841,2.21124,439.193118
1605920072056.5098,0.582203,1.537761,447.46737
1605920072064.725,0.548171,3.177736,455.682679
1605920072073.9255,1.543076,3.259539,464.883295
1605920072082.1814,0.550195,3.206021,473.139227
1605920072091.4165,1.525804,3.211373,482.374435
1605920072099.635,0.547802,11.429593,490.592655
1605920072108.9773,1.674965,3.487712,499.935113
1605920072118.5884,1.900974,13.098857,509.546258
1605920072126.7605,0.493026,2.279045,517.718286
1605920072135.9688,1.532964,4.480709,526.926659
1605920072144.191,0.554836,3.071809,535.148777
1605920072152.452,0.554837,2.433821,543.409702
1605920072160.7139,0.556047,2.217837,551.671782
1605920072169.251,0.829152,2.713627,560.208815
1605920072177.5066,0.548003,2.528648,568.464259
1605920072185.8179,0.616934,1.833968,576.775669
1605920072194.0588,0.565672,10.074779,585.01648
1605920072202.3213,0.553864,2.822656,593.279277
1605920072210.5774,0.549027,2.422608,601.535164
1605920072220.006,1.758775,3.420871,610.963957
1605920072228.2683,0.552081,11.683009,619.226095
1605920072236.792,0.84724,2.473311,627.749806
1605920072245.053,0.550606,10.734342,636.010837
1605920072253.3867,0.648251,1.849107,644.344634
1605920072261.8237,0.749186,10.286031,652.781558
1605920072270.0774,0.552315,3.062283,661.035166
1605920072278.284,0.5412,2.416939,669.241903
1605920072286.4888,0.53935,2.071996,677.446688
1605920072294.7917,0.62858,2.443025,685.749458
1605920072304.181,0.560783,3.498407,695.138801
1605920072312.3923,0.543763,3.355404,703.350159
1605920072320.6758,0.59978,11.638834,711.633589
1605920072328.9463,0.560225,6.355755,719.904025
4.053131,0.558433,3.410208,728.133473
2.260068,0.536192,2.156208,736.334043
3.498726,0.538279,2.189255,744.535208
1.64062,0.54041,2.249869,752.738741
2.89233,0.53368,2.258061,760.933706
3.148627,0.549924,2.271282,769.190107
3.446643,0.57986,1.461053,777.461399
2.651106,0.553061,0.88885,785.691169
2.847212,0.549091,9.14979,793.952109
3.109359,0.551989,2.253962,802.178922
3.323365,0.547909,2.312966,810.399591
2.539318,0.53787,2.265391,818.606734
2.747223,0.547616,2.12598,826.823766
2.97345,0.559013,2.287765,835.055195
9.252716,0.565747,2.262118,843.303811
19.00128,0.566438,3.704562,853.052375
3.318201,0.613568,2.983033,861.356651
3.717398,0.660156,11.361323,869.734941
3.885684,0.554714,8.333849,877.963539
3.200415,0.559189,3.984888,886.22696
3.364463,0.54738,2.21942,894.440207
3.637125,0.572517,2.318091,902.679468
4.945953,0.587878,1.444541,910.965379
3.186169,0.55105,3.160984,919.190149
2.402267,0.545848,2.360907,927.404099
2.615089,0.54552,2.291669,935.618265
2.818992,0.536563,2.26158,943.821227
1.9528,0.539659,2.136056,952.027045
4.196192,0.539042,2.192267,960.230656
2.343846,0.54469,2.284648,968.439724
1.662862,0.574793,1.855691,976.702724
3.894287,0.545382,10.075779,984.922812
3.100344,0.549287,2.612502,993.146003
3.365365,0.615961,2.282278,1001.438393
3.765872,0.702087,2.438582,1009.806095
1.251003,0.796763,2.758476,1018.298452
3.629748,0.729448,2.70806,1026.697307
1.857923,0.546293,2.372403,1034.917259
3.647835,0.948681,11.11946,1043.664316
1.865134,0.556613,7.610407,1051.894766
2.050572,0.551046,4.082639,1060.16406
3.351331,0.558324,2.579964,1068.425201
3.584793,0.548166,2.233587,1076.652274
1.709318,0.544721,2.260478,1084.866759
3.039443,0.607063,2.315717,1093.145487
1.375285,0.662395,2.433461,1101.484111
3.744521,0.532639,10.705327,1109.755977
3.114704,0.681825,8.13652,1118.160745
4.449348,0.655031,5.000191,1126.490999
3.792605,0.634454,2.730127,1134.799935
