imu_to_display,predict_to_display,render_to_display,wall_time
1605917277006.9983,13.032469,13.358053,0.0
1605917277016.349,0.550251,22.709035,9.350982
1605917277025.6794,1.510868,32.039086,18.681033
1605917277033.8547,0.518785,8.502107,26.856376
1605917277042.693,0.662184,17.340483,35.694752
1605917277053.799,3.42569,10.638135,46.800967
1605917277063.6416,0.797049,20.480532,56.643364
1605917277071.8545,0.523212,5.938251,64.856407
1605917277080.0981,0.527968,14.181581,73.099737
1605917277089.069,1.289823,3.660394,82.070861
1605917277097.236,0.513791,11.827256,90.237723
1605917277105.4028,0.513076,19.994193,98.40466
1605917277113.5776,0.521582,4.275388,106.579574
1605917277122.3486,1.136326,1.899373,115.350205
1605917277130.5557,0.520254,10.106444,123.557276
1605917277139.1826,0.972073,3.023639,132.184214
1605917277147.3562,0.516417,11.197287,140.357862
1605917277156.6958,1.65166,3.318006,149.697583
1605917277164.8962,0.51328,11.518309,157.897886
1605917277173.9927,1.412102,2.849181,166.994515
1605917277182.2385,0.543288,11.094779,175.240113
1605917277191.4685,1.574353,2.850117,184.470182
1605917277199.6665,0.512319,11.047987,192.668052
1605917277209.6094,2.249425,4.433854,202.611209
1605917277217.8096,0.512345,12.634073,210.811428
1605917277226.046,0.550946,2.570742,219.047808
1605917277234.247,0.509813,10.771774,227.24884
1605917277243.0374,1.103113,2.86219,236.039074
1605917277253.729,3.019801,13.55389,246.730774
1605917277261.926,0.537856,2.888498,254.927951
1605917277270.9834,1.406782,2.138533,263.985249
1605917277279.1401,0.504724,10.295239,272.141955
1605917277287.2979,0.507167,18.452736,280.299452
1605917277295.5322,0.583526,3.243016,288.534119
1605917277303.6606,0.472995,3.062789,296.662398
1605917277311.9214,0.603591,2.211594,304.923238
1605917277320.592,1.008482,2.754567,313.593817
1605917277328.6643,0.41537,2.897949,321.666008
1605917277337.6138,1.296256,2.865601,330.615479
1605917277345.6619,0.433955,2.846704,338.663771
1605917277353.8857,0.575975,2.107849,346.887363
1605917277362.1558,0.583766,10.377996,355.15751
1605917277370.9597,1.115201,2.886375,363.961377
1605917277380.2822,1.673846,3.988701,373.283877
1605917277388.4436,0.499853,3.026902,381.445329
1605917277397.1594,1.033495,1.32772,390.161274
1605917277405.2275,0.414484,9.39572,398.229274
1605917277413.3042,0.417775,3.610351,406.306031
1605917277422.6177,1.628197,12.923639,415.619319
1605917277430.697,0.422487,9.603519,423.6986
1605917277438.805,0.422238,2.451417,431.806742
1605917277446.959,0.457292,2.118261,439.960965
1605917277455.8313,1.210336,2.738805,448.833103
1605917277463.9204,0.420864,3.047574,456.922123
1605917277472.0144,0.439265,2.955961,465.016093
1605917277480.736,1.067874,2.650195,473.737703
1605917277488.9285,0.505842,10.842736,481.930244
1605917277497.6316,1.047384,2.669897,490.633337
1605917277505.7375,0.425131,10.775706,498.739146
1605917277514.6865,1.290537,2.844753,507.688221
1605917277522.7913,0.434472,10.949513,515.792981
1605917277531.8818,1.397109,2.637154,524.883435
1605917277539.9834,0.416083,10.738922,532.985203
1605917277548.6052,0.969587,2.653678,541.606951
1605917277556.6748,0.415727,10.723169,549.676442
1605917277565.4854,1.155816,2.658834,558.487026
1605917277573.551,0.413875,10.724773,566.552965
1605917277582.1711,0.948042,1.184402,575.172814
1605917277590.283,0.422635,9.296277,583.284689
1605917277598.357,0.419446,3.509263,591.358769
1605917277607.2952,1.287211,2.68004,600.296855
1605917277615.3723,0.421364,10.757337,608.374152
1605917277624.4817,1.390556,19.866786,617.483601
1605917277632.6665,0.436049,9.455932,625.668336
1605917277641.1309,0.768072,2.811767,634.132557
1605917277649.256,0.4568,2.343269,642.257994
1605917277657.343,0.427446,1.754006,650.344751
1605917277665.4485,0.422709,2.609658,658.45025
1605917277673.5576,0.436033,3.016485,666.559271
1605917277682.2627,0.995339,2.642846,675.264593
1605917277690.3643,0.415883,10.744092,683.365839
1605917277699.06,1.00904,2.640162,692.061647
1605917277707.1726,0.422814,10.752918,700.174403
