imu_to_display,predict_to_display,render_to_display,wall_time
1602037487561.7424,11.867337,15.760639,0.0
1602037487711.5159,16.775949,165.534271,149.773632
1602037487728.0771,2.851332,22.774884,166.334627
1602037487744.7898,2.273674,39.487759,183.047502
1602037487761.2249,2.455538,55.922924,199.482667
1602037487778.0032,2.898535,72.701082,216.260825
1602037487794.7812,2.686366,89.479208,233.038951
1602037487828.142,18.763242,122.840154,266.399897
1602037487844.8416,2.816451,139.539363,283.099106
1602037487861.4143,1.944922,156.112263,299.672006
1602037487895.6575,18.660165,190.355362,333.915105
1602037487911.4507,2.011998,15.603671,349.708257
1602037487928.041,2.234472,32.194044,366.29863
1602037487945.066,2.82218,49.219189,383.323775
1602037487961.4954,2.473811,65.648338,399.752924
1602037487978.062,2.39304,82.215286,416.319872
1602037487994.8608,2.855877,99.01386,433.118446
1602037488011.572,2.775746,115.725135,449.829721
1602037488028.3655,3.052334,132.518653,466.623239
1602037488044.872,2.757601,149.025406,483.129992
1602037488061.5396,2.746176,165.692614,499.7972
1602037488094.9575,18.67815,199.110651,533.215237
1602037488111.7627,3.144467,215.91569,550.020276
1602037488128.2996,1.139573,232.452748,566.557334
1602037488161.7043,17.777116,265.857632,599.962218
1602037488179.0054,3.463298,16.680937,617.263056
1602037488194.8923,2.137092,32.567917,633.150036
1602037488211.6436,2.295755,49.319129,649.901248
1602037488445.3643,7.278099,39.442542,883.621799
1602037488478.8662,17.22189,72.94471,917.123967
1602037488504.6125,11.847783,98.690965,942.870222
11.90017,10.161721,122.752758,966.932015
5.321624,2.802083,139.289273,983.46853
6.406955,2.777602,9.968017,1000.494251
4.948903,2.395632,26.483602,1017.009836
4.536595,2.417777,43.100376,1033.62661
21.177499,19.60773,76.674708,1067.200942
6.73337,2.862214,93.270073,1083.796307
5.302903,2.587033,109.797179,1100.323413
4.995593,2.644123,126.57172,1117.097954
19.259553,16.945813,160.082401,1150.608635
4.009787,2.718271,176.529759,1167.055993
5.736747,2.835812,193.260746,1183.78698
4.440687,1.672782,209.942067,1200.468301
7.999221,1.938267,226.607644,1217.133878
4.06947,2.881543,17.607125,1234.0931
5.062508,3.1701,34.76386,1251.249835
5.854928,1.514278,50.772701,1267.258676
2.796098,1.400929,67.355458,1283.841433
4.618935,1.726288,84.173361,1300.659336
6.02492,2.402223,100.688018,1317.173993
4.85661,2.87463,117.427838,1333.913813
22.504024,18.701799,151.104287,1367.590262
5.931509,2.699486,22.436053,1383.966833
5.795854,3.120113,39.300326,1400.831106
7.260466,2.61977,55.783878,1417.314658
6.018808,2.754112,72.531762,1434.062542
5.705706,2.898631,89.278558,1450.809338
5.300567,2.812195,105.880388,1467.411168
5.07774,2.814435,122.581997,1484.112777
5.744587,2.70611,139.25919,1500.78997
19.548367,15.302377,180.07802,1541.6088
14.417664,11.836968,205.931608,1567.462388
21.874715,19.678101,239.403983,1600.934763
5.381243,2.819236,255.887983,1617.418763
5.034731,2.897415,4.368044,1634.096148
5.391579,3.243351,21.727892,1651.455996
4.474609,2.263498,37.81517,1667.543274
6.134397,2.709726,54.44916,1684.177264
3.805137,2.127619,71.123025,1700.851129
5.632902,2.871622,87.957377,1717.685481
5.800014,2.713086,104.548838,1734.276942
4.937798,2.734751,121.272721,1751.000825
16.305943,13.970475,154.678661,1784.406765
5.648359,3.374717,172.031917,1801.760021
21.432615,18.173231,204.820933,1834.549037
5.936852,2.711454,221.277923,1851.006027
3.608296,2.040095,3.023597,1867.686196
4.32945,2.749472,19.73644,1884.399039
3.894166,2.729823,36.334557,1900.997156
5.656392,2.74928,53.055944,1917.718543
7.358359,2.976747,69.823221,1934.48582
21.105719,18.519583,103.51583,1968.178429
3.307802,2.508277,119.728649,1984.391248
4.272135,2.500084,136.669086,2001.331685
19.877438,18.627236,170.340959,2035.003558
21.917981,19.166781,48.143426,2068.011111
4.436111,2.852069,64.722695,2084.59038
5.486688,3.203158,81.707486,2101.575171
5.014282,2.480436,98.239648,2118.107333
4.587413,2.472947,114.804387,2134.672072
5.198322,2.628155,131.411017,2151.278702
6.887392,2.884038,148.126803,2167.994488
6.710265,2.991084,164.981893,2184.849578
5.333113,2.5686,181.558441,2201.426126
4.726525,2.52815,198.946995,2218.81468
4.956135,2.075713,215.16103,2235.028715
3.26812,1.768018,231.485662,2251.353347
21.056533,18.655557,265.268228,2285.135913
6.30279,2.530582,22.847465,2301.37971
6.091323,2.948777,39.715802,2318.248047
5.791022,2.878566,56.386243,2334.918488
4.326506,2.674301,72.912261,2351.444506
5.96159,2.852741,89.620111,2368.152356
3.784304,1.448195,106.35273,2384.884975
3.264216,2.145988,122.880828,2401.413073
5.092494,2.727007,139.637417,2418.169662
5.771149,2.692958,156.342995,2434.87524
4.425102,2.466195,173.012667,2451.544912
4.294696,2.015134,189.863276,2468.395521
3.709325,2.673949,206.477618,2485.009863
4.581173,2.71427,223.201981,2501.734226
4.364843,2.425393,239.928328,2518.460573
4.017339,1.88668,256.628306,2535.160551
3.82101,1.735729,5.604453,2551.907475
5.118062,2.340205,21.951486,2568.254508
6.858848,2.682717,38.706219,2585.009241
3.704749,3.045838,55.492089,2601.795111
6.22045,2.680029,72.021019,2618.324041
7.08177,3.032269,88.905069,2635.208091
3.785649,2.819428,105.575062,2651.878084
6.330567,2.669724,122.143577,2668.446599
3.210645,2.360334,138.800865,2685.103887
3.615816,1.668174,155.412263,2701.715285
20.077991,17.985574,188.904607,2735.207629
6.615572,2.772257,205.419648,2751.72267
18.274355,17.952164,239.076768,2785.37979
4.857859,2.882663,19.138556,2801.965427
4.472497,2.686686,35.755426,2818.582297
6.238659,2.843973,52.530383,2835.357254
4.679769,2.009885,68.986893,2851.813764
21.316737,18.11934,102.591787,2885.418658
5.904595,2.767841,119.185872,2902.012743
3.459905,1.756146,135.749459,2918.57633
8.754616,6.024569,19.564784,2938.918462
17.26586,16.135343,49.459744,2968.813422
4.340842,2.598681,66.114568,2985.468246
5.864145,2.595481,82.682316,3002.035994
5.576963,2.559031,99.376149,3018.729827
5.184209,2.603833,115.968154,3035.321832
8.147644,2.934025,132.986611,3052.340289
5.839184,2.74928,149.649243,3069.002921
5.398588,2.481236,166.191806,3085.545484
4.970023,2.167365,182.734912,3102.08859
3.618216,1.414594,199.417801,3118.771479
5.42166,2.706718,216.22396,3135.577638
6.271204,4.25719,235.072486,3154.426164
18.927825,17.306758,266.875439,3186.229117
4.221957,2.445906,25.415936,3202.404559
5.833327,2.689853,42.002276,3218.990899
6.536657,2.839364,58.671117,3235.65974
5.198963,2.78957,75.388248,3252.376871
6.084891,2.678717,92.23044,3269.219063
6.720537,2.670108,108.869327,3285.85795
5.167089,2.627579,125.307213,3302.295836
4.592406,2.550039,141.908146,3318.896769
2.4981,1.955035,158.638589,3335.627212
3.032621,1.231929,175.298661,3352.287284
4.93143,2.291595,192.096756,3369.085379
23.400962,18.380696,225.591084,3402.579707
6.13699,3.004172,20.161035,3419.310726
5.654536,2.669309,36.682477,3435.832168
5.284598,2.769953,53.303315,3452.453006
5.94959,2.243817,70.01763,3469.167321
22.481911,12.551369,103.520694,3502.670385
6.177024,2.82842,120.170494,3519.320185
19.431529,16.724971,31.036006,3552.640937
7.075337,2.89607,47.62657,3569.231501
5.639207,2.307884,64.249553,3585.854484
3.311227,1.44938,80.908185,3602.513116
21.920637,18.581826,114.468756,3636.073687
5.463967,2.952938,5.124815,3652.728415
7.152717,2.683677,21.840409,3669.444009
5.791213,2.612793,38.330745,3685.934345
3.463297,2.610778,55.022115,3702.625715
5.11131,2.489172,71.71342,3719.31702
4.787199,2.475475,88.41071,3736.01431
6.556274,2.564792,105.107872,3752.711472
19.989859,17.678295,138.538389,3786.141989
6.65263,2.923912,155.198813,3802.802413
3.671563,2.686365,172.222358,3819.825958
2.913831,1.488901,188.481323,3836.084923
3.807793,2.505301,205.389119,3852.992719
5.709866,2.876966,18.014055,3869.876801
6.14275,2.699678,34.471558,3886.334304
4.903557,2.830052,51.194289,3903.057035
7.110059,3.489794,68.490358,3920.353104
3.967897,2.118243,84.294551,3936.157297
7.622659,2.789634,101.02525,3952.887996
5.435741,2.980683,117.755821,3969.618567
6.143422,2.781825,134.437142,3986.299888
5.755948,2.809667,151.073917,4002.936663
5.181905,2.163877,167.710884,4019.57363
6.546609,2.689213,184.883012,4036.745758
22.005569,18.59085,218.309337,4070.172083
4.780639,2.623387,19.837852,4086.997027
4.175491,1.711344,36.200534,4103.359709
22.596412,18.335958,69.61185,4136.771025
5.905587,2.558839,85.912801,4153.071976
3.737006,2.357518,102.736401,4169.895576
22.023746,18.508958,32.516266,4203.262922
5.639975,2.887591,49.075342,4219.821998
5.640326,3.164659,66.074309,4236.820965
7.126924,2.583032,82.665418,4253.412074
4.862115,2.804323,99.361268,4270.107924
4.435887,2.543191,115.870293,4286.616949
5.190034,1.866871,132.624641,4303.371297
28.104701,26.591639,174.545186,4345.291842
13.614554,10.784599,199.05916,4369.805816
7.230704,3.879252,20.744038,4387.447149
4.988777,1.975132,36.526758,4403.229869
3.739086,2.40664,53.227663,4419.930774
4.461392,1.549512,69.944794,4436.647905
19.939137,18.186,103.423186,4470.126297
5.874162,3.37203,9.820842,4487.151314
6.121949,2.526262,26.055326,4503.385798
4.876195,2.726015,42.77236,4520.102832
4.585078,2.665885,59.436017,4536.766489
6.118845,2.60585,75.971795,4553.302267
4.928805,2.899943,92.790658,4570.12113
21.291872,18.324022,126.180918,4603.51139
3.6979,2.78829,142.722264,4620.052736
5.604229,2.796546,159.451363,4636.781835
4.313545,2.293131,176.168046,4653.498518
21.246813,18.757513,210.099578,4687.43005
5.456958,2.526006,29.164014,4703.675831
5.27167,2.849445,45.972061,4720.483878
5.744332,2.552759,62.47987,4736.991687
4.343563,2.719103,79.04957,4753.561387
5.11179,2.805602,95.81147,4770.323287
5.291959,3.12805,113.038257,4787.550074
21.156313,17.547633,145.855689,4820.367506
7.144749,3.35062,162.841313,4837.35313
3.527204,1.824053,179.207259,4853.719076
6.112829,2.688861,195.89162,4870.403437
6.927843,2.562743,17.861216,4887.148537
4.596566,2.556727,34.537225,4903.824546
5.237844,1.986812,51.160143,4920.447464
5.003433,2.717566,67.956413,4937.243734
4.813024,2.71091,84.756172,4954.043493
4.342155,1.759378,101.341777,4970.629098
20.625985,17.677624,20.268272,5003.864502
6.251364,2.640635,36.88447,5020.4807
5.1516,3.055311,53.783305,5037.379535
4.527379,2.218535,70.167748,5053.763978
6.222594,2.170405,86.842893,5070.439123
19.956481,18.574593,120.565039,5104.161269
5.473887,2.849349,23.988926,5120.716409
4.050716,2.650235,40.540736,5137.268219
17.607988,15.644057,74.173023,5170.900506
4.940774,2.578776,90.507064,5187.234547
5.747147,2.688349,107.241091,5203.968574
7.596738,2.886727,124.144887,5220.87237
4.050748,2.518805,140.62495,5237.352433
3.788849,2.026239,157.359586,5254.087069
5.541858,2.616986,174.047531,5270.775014
5.227187,2.384399,190.727796,5287.455279
6.849055,2.272042,207.357723,5304.085206
22.152616,20.093,242.709577,5339.43706
20.070631,17.079867,38.979224,5371.292016
6.187296,2.464115,55.183051,5387.495843
6.827934,2.673724,71.936599,5404.249391
5.625222,2.82938,88.539389,5420.852181
5.36793,2.826916,105.292329,5437.605121
4.955911,2.733791,121.872877,5454.185669
4.609815,2.808035,138.539766,5470.852558
6.21373,2.611418,155.138971,5487.451763
4.049372,2.394063,171.95809,5504.270882
19.45057,18.408921,205.388031,5537.700823
3.904118,2.653083,221.94013,5554.252922
4.968039,2.24148,238.899224,5571.212016
19.272642,17.881569,272.191847,5604.504639
5.669896,2.712126,27.622726,5620.911675
7.334134,2.754817,44.296943,5637.585892
4.013051,2.865253,60.966903,5654.255852
5.835664,3.111473,77.811528,5671.100477
5.331736,2.744927,94.353578,5687.642527
5.215507,2.956521,111.228348,5704.517297
5.926676,2.783554,127.87498,5721.163929
5.443805,2.733407,144.437767,5737.726716
6.162847,2.821379,161.102255,5754.391204
5.79675,2.265865,177.775896,5771.064845
3.990361,2.393071,194.957752,5788.246701
19.960833,17.647542,227.97529,5821.264239
6.513487,2.662268,244.479771,5837.76872
5.439357,2.568408,8.861469,5854.682436
6.940355,2.699742,25.373182,5871.194149
5.540514,1.89596,42.014981,5887.835948
3.527396,2.208551,58.990748,5904.811715
19.964066,18.085034,92.464115,5938.285082
5.237108,2.589848,108.825581,5954.646548
4.015867,2.084577,125.467892,5971.288859
4.61868,2.108227,7.014151,5987.973765
5.358938,2.644956,23.717073,6004.676687
6.067355,2.764929,40.380377,6021.339991
5.674537,2.810307,56.977566,6037.93718
6.651606,3.149107,74.000567,6054.960181
6.243427,2.597625,90.564602,6071.524216
4.85517,2.685949,107.154527,6088.114141
4.529139,2.084961,123.84068,6104.800294
5.383163,2.705758,140.705818,6121.665432
5.932404,2.610394,157.242108,6138.201722
4.694618,2.132099,174.099309,6155.058923
4.264007,1.63086,190.582253,6171.541867
2.833604,1.431234,207.183922,6188.143536
5.530434,1.915449,223.855323,6204.814937
5.153072,1.789683,240.530275,6221.489889
6.008824,2.815587,257.370676,6238.33029
4.62108,2.461363,10.856282,6254.942136
4.386221,2.805571,27.582309,6271.668163
3.902613,2.576472,44.10759,6288.193444
4.651513,2.898055,60.868467,6304.954321
5.315064,2.74016,77.580382,6321.666236
