mtp,wall_time
1601879908263.2373,0.0
1601879908366.7544,103.516748
1601879908397.1768,133.939241
1601879908430.779,167.541688
1601879908447.59,184.35256
1601879908464.771,201.533652
1601879908481.8354,218.598037
1601879908498.9023,235.664726
1601879908514.0774,250.839923
1601879908531.8823,268.64475
1601879908548.422,285.184636
1601879908565.3003,302.062774
1601879908581.3901,318.152628
1601879908599.341,336.1037
1601879908615.8389,352.601441
1601879908631.8342,368.596539
1601879908648.9055,385.66806
1601879908665.4763,402.238955
1601879908681.5793,418.341674
1601879908698.04,434.802677
1601879908715.0107,451.773458
1601879908731.915,468.677613
1601879908748.259,485.021492
1601879908764.9604,501.723144
1601879908780.9097,517.672193
1601879908797.9277,534.690304
1601879908814.243,551.005414
1601879908831.217,567.979555
1601879908848.2026,584.965409
1601879908865.1064,601.869052
1601879908881.4475,618.209891
1601879908898.436,635.198529
1601879908914.446,651.208572
1601879908932.5925,669.355235
1601879908948.9956,685.758092
1601879908965.6443,702.40691
1601879908981.6118,718.37436
1601879908998.6711,735.43356
1601879909015.0461,751.808799
1601879909032.2622,769.024549
1601879909048.4712,785.23383
1601879909065.34,802.102718
1601879909082.8113,819.573901
1601879909098.781,835.543557
1601879909114.9695,851.732006
1601879909132.0378,868.800485
1601879909148.452,885.214414
1601879909165.426,902.188522
1601879909181.7559,918.518384
1601879909199.6587,936.421389
1601879909215.1387,951.90098
1601879909232.461,969.223677
1601879909248.3843,985.146804
1601879909265.6694,1002.431996
1601879909297.9517,1034.714169
1601879909315.0486,1051.811162
123.637746,1069.091073
6.050935,1086.527854
6.45623,1103.939066
6.162235,1118.632517
6.295904,1135.806281
6.6131,1152.142959
4.88459,1168.419634
7.072892,1185.564373
8.102976,1202.599283
6.522376,1218.993531
6.564298,1236.040602
5.312637,1251.773226
6.534856,1270.010579
6.821586,1286.354169
5.177721,1302.648286
6.091993,1318.635287
7.496235,1336.984932
5.675594,1352.179745
5.850192,1369.389798
5.566215,1385.275292
6.01615,1403.495012
6.157851,1418.656384
6.834867,1435.335378
5.880721,1452.377585
6.199517,1469.683769
5.435713,1485.941692
6.094393,1502.979579
5.409281,1518.872593
7.902521,1536.383872
7.235042,1552.736807
6.437317,1569.942923
5.117782,1585.636474
5.338622,1602.866335
7.446633,1619.027455
5.970964,1635.466088
6.164667,1652.675117
6.486023,1668.997586
5.794382,1686.301242
5.847152,1702.716739
7.252898,1719.738305
9.569205,1737.059338
6.572618,1754.082087
18.862655,1785.345918
7.266786,1803.776301
8.797433,1820.311257
5.01653,1836.497944
5.019858,1853.514773
4.879054,1869.402154
6.436837,1885.983895
5.218681,1903.741806
6.129786,1919.702278
5.160887,1935.667773
4.911951,1952.595799
4.921679,1969.428813
5.081205,1985.569291
5.104661,2002.65041
5.412512,2019.924592
5.221658,2035.73101
7.452649,2052.941638
8.294119,2070.808161
12.216274,2091.750697
15.349089,2118.867533
4.477087,2136.016879
6.568906,2153.122447
4.520609,2169.647674
7.150014,2186.644758
6.46855,2202.984923
5.950932,2219.482534
6.262559,2235.782953
6.280384,2252.821991
5.655305,2269.173772
7.03065,2286.537141
5.330141,2302.852569
6.466502,2320.000987
8.054014,2336.564679
4.367515,2352.903628
6.675501,2370.180274
5.702667,2386.227373
8.132385,2404.658908
6.577162,2420.153987
5.899954,2436.44919
5.752652,2453.292124
6.323809,2469.842345
8.657779,2487.222034
6.933718,2503.53311
6.955543,2519.482605
7.499051,2538.038977
12.829704,2554.33674
8.08672,2570.613671
6.196924,2586.944139
5.829807,2603.373395
5.314429,2619.891134
5.530212,2637.111362
5.795214,2653.342659
6.180284,2669.733322
5.726988,2686.327992
8.132769,2704.729094
5.512196,2720.101576
5.184953,2736.716983
7.616494,2754.158082
4.95352,2770.55812
6.10204,2786.631394
5.122454,2803.74701
7.007,2820.57023
5.214937,2836.757717
7.271106,2853.801554
8.276806,2871.848498
6.704398,2887.254805
7.726322,2903.337263
6.118201,2920.643061
6.117337,2936.757521
7.755667,2953.336061
5.656745,2971.207064
7.948506,2987.504506
5.121205,3003.691
6.599626,3020.14208
7.795061,3037.405573
6.076119,3053.662693
6.177084,3070.743588
7.733171,3087.287151
9.841021,3104.400718
6.200124,3120.788627
7.401382,3136.936656
6.588298,3154.205237
6.288607,3170.842147
5.02357,3187.612598
7.786772,3204.365449
7.144861,3220.698316
4.753449,3237.330331
7.608494,3254.196241
7.182015,3270.893602
8.597553,3289.211435
8.102848,3304.639855
7.005913,3320.552868
5.807278,3337.372024
7.10438,3354.650109
5.94485,3371.503123
5.827982,3387.396743
6.514503,3404.044662
5.890001,3420.463837
5.695114,3437.24872
6.841939,3454.389937
5.752812,3471.38494
6.94319,3487.485991
5.615015,3505.161146
6.506214,3522.050065
7.611374,3538.179822
7.970203,3555.515765
5.592582,3571.140479
6.630795,3588.184252
6.408259,3604.976688
8.023901,3621.626527
6.475558,3638.066086
8.463532,3655.030912
7.385286,3671.939192
5.68673,3689.250238
8.594609,3705.188756
7.729139,3722.291923
7.685168,3739.279501
7.085243,3755.642897
6.890292,3772.468069
6.739054,3789.392444
10.686587,3806.285651
8.014139,3822.592948
8.740918,3839.426793
6.249982,3854.81425
7.5563,3873.110802
6.194235,3888.755068
6.37133,3906.005023
11.756961,3922.316929
5.940082,3938.499006
6.54228,3956.10011
4.678245,3971.338761
6.471237,3988.068122
7.116476,4004.675174
7.189535,4021.823334
6.745391,4038.338159
6.799537,4055.357258
7.07017,4071.719373
5.270395,4087.924139
6.400323,4105.983243
6.367233,4122.937411
6.019157,4139.596529
5.747211,4156.332258
5.220664,4171.806502
7.453736,4188.05447
6.338368,4204.916731
8.277093,4221.852371
4.345626,4237.935821
8.584464,4255.144814
9.709912,4273.306834
20.601593,4304.203672
6.359681,4321.937708
6.310879,4338.893221
5.939474,4355.530578
5.832143,4371.438694
7.013401,4388.628775
7.858774,4405.468219
5.681385,4421.265675
5.591302,4438.18445
5.729515,4455.336642
5.606279,4472.266746
5.475426,4488.126763
4.314553,4504.932095
7.322083,4521.91116
6.352417,4537.944016
5.919666,4554.570333
8.108223,4571.764606
7.152893,4588.738103
5.934482,4604.536839
7.854486,4622.440353
6.907924,4638.511194
6.905365,4655.498868
5.709386,4671.307844
6.586089,4689.183485
6.380578,4706.013009
6.543432,4722.164302
5.74926,4738.370796
5.506466,4755.100347
6.533863,4772.232697
5.038482,4788.658398
6.203707,4804.812505
5.708458,4821.471846
5.920497,4838.600164
5.289499,4854.970791
6.665068,4872.36059
6.337344,4888.960409
7.496713,4907.136732
5.755372,4922.409944
6.87458,4938.551219
6.699085,4955.338308
7.071994,4971.736168
4.467422,4988.099915
6.91842,5005.537523
7.39095,5022.056156
6.85621,5039.462211
7.000312,5055.722754
8.171393,5071.793882
6.945686,5088.576204
7.313667,5105.916561
6.490918,5122.136911
6.631915,5139.245676
7.313187,5155.971227
5.466881,5172.095509
4.758441,5188.399574
4.990545,5205.598998
6.742415,5222.362695
5.928721,5238.560003
8.454987,5256.078319
5.60183,5272.233482
6.346816,5288.967322
5.427424,5305.109589
5.050738,5321.672542
7.116283,5339.740573
4.925582,5355.563981
6.085719,5372.754797
7.489929,5390.145332
8.285925,5421.883574
7.818004,5439.507557
6.006068,5455.674657
5.526691,5472.224938
5.576389,5489.268485
7.772883,5506.522823
6.256893,5522.922379
5.457441,5539.12052
8.49662,5557.150213
9.662358,5575.289895
5.972371,5589.609409
5.905745,5606.606298
5.104117,5622.801143
23.148467,5657.841806
19.044417,5688.702193
6.136857,5705.887985
6.926197,5722.571807
5.791341,5739.430963
6.847921,5757.484624
5.933009,5773.601097
5.836718,5790.481469
6.827473,5806.459441
24.220343,5838.941612
6.893299,5856.616892
6.791984,5873.447726
6.260925,5889.959221
7.140284,5906.852457
7.231391,5923.930564
6.20057,5939.852214
7.670702,5957.41133
6.527782,5974.179346
6.580521,5990.250122
8.723572,6007.371046
8.730932,6024.400351
7.692303,6040.34789
6.095671,6056.753205
9.154243,6075.784981
19.732633,6186.402326
9.082272,6205.755233
9.155748,6224.804034
7.950681,6240.61416
7.023256,6257.700171
7.090522,6273.757762
18.361481,6306.074231
6.248413,6323.903916
8.494796,6340.273454
6.868339,6358.532531
19.607828,6389.261871
25.780206,6427.460116
