imu_to_display,predict_to_display,render_to_display,wall_time
1602037557987.1304,36.394846,37.72614,0.0
1602037558106.0562,21.280351,156.651775,118.925635
1602037558122.7078,2.959338,173.303462,135.577322
1602037558140.865,3.982554,191.460692,153.734552
1602037558155.8962,0.871273,206.49208,168.76594
1602037558172.558,2.07056,7.262578,185.427643
1602037558190.9658,4.141793,25.670092,203.835157
1602037558205.985,1.356447,40.689447,218.854512
1602037558222.7188,2.671868,57.423282,235.588347
1602037558239.5273,3.05771,74.231745,252.39681
1602037558256.1204,2.736672,90.82471,268.989775
1602037558272.6875,2.699677,107.391945,285.55701
1602037558289.3684,2.54335,3.924823,302.237723
1602037558306.4614,3.266136,21.018163,319.331063
1602037558322.835,2.550967,37.391438,335.704338
1602037558339.544,1.118484,54.100664,352.413564
1602037558356.138,2.521941,70.694716,369.007616
1602037558372.9285,2.71987,87.485002,385.797902
1602037558389.5598,2.133412,104.116337,402.429237
1602037558408.4175,4.095359,9.425911,421.287043
1602037558439.6575,17.55285,40.665862,452.526994
1602037558456.2793,3.015405,57.287788,469.14892
1602037558472.8657,2.656571,73.874224,485.735356
1602037558489.5117,2.573943,90.520023,502.381155
1602037558506.6238,3.125809,10.940445,519.49328
1602037558623.916,10.556171,41.741239,636.78559
1602037558656.9673,16.85877,17.643638,669.836602
1602037558689.8784,19.200606,50.555026,702.74799
1602037558706.542,2.992459,67.218586,719.41155
4.151873,2.287435,83.876802,736.069766
5.902195,2.862405,100.608109,752.801073
15.777599,14.506532,134.020481,786.213445
5.79163,2.812163,150.534594,802.727558
5.595429,2.222311,5.177041,819.542837
18.013543,16.549411,38.602214,852.96801
7.614915,2.679549,55.163497,869.529293
4.28628,2.661468,71.826705,886.192501
5.814574,2.898279,5.139535,902.867069
4.782527,2.141348,21.980608,919.708142
6.744986,4.758941,40.959379,938.686913
21.158105,17.500015,72.430413,970.157947
5.346681,2.165029,22.518328,986.29057
6.398122,2.95217,39.533137,1003.305379
4.836161,2.553687,3.797041,1019.765057
5.372058,2.509236,20.319826,1036.287842
4.987272,2.568727,37.045181,1053.013197
3.706125,2.807331,53.6745,1069.642516
5.387035,2.720639,70.338764,1086.30678
4.988009,2.243593,86.953874,1102.92189
4.850178,2.552215,16.662024,1119.793971
5.451262,2.604185,33.233996,1136.365943
4.667321,2.823011,49.951222,1153.083169
5.774701,2.851525,66.579485,1169.711432
4.867331,2.821252,9.95304,1186.822533
4.148418,2.390512,26.230758,1203.100251
4.808832,2.798755,42.917295,1219.786788
6.405226,2.78925,59.502675,1236.372168
3.201685,2.568664,76.274048,1253.143541
2.770753,1.886679,92.880709,1269.750202
6.829822,2.71651,9.629728,1286.800916
5.362618,2.684349,26.127969,1303.299157
4.89514,2.638587,42.65181,1319.822998
4.951431,3.277561,59.732478,1336.903666
6.219362,2.559768,76.073719,1353.244907
5.854801,2.3155,92.630618,1369.801806
5.590949,2.533302,17.333416,1386.552858
3.386334,2.022334,34.239355,1403.458797
5.924404,2.438962,50.669208,1419.88865
4.607575,2.650651,67.332896,1436.552338
4.54594,2.194086,8.999619,1453.493287
3.234934,2.37147,25.694284,1470.187952
5.734987,2.480467,42.205229,1486.698897
5.610789,2.79933,59.057726,1503.551394
6.124349,2.506261,75.569151,1520.062819
4.780862,2.651259,92.239815,1536.733483
5.441406,2.336045,17.22205,1553.407156
4.093823,2.564919,33.850568,1570.035674
4.861218,2.742431,50.629173,1586.814279
5.460447,2.504309,67.231675,1603.416781
8.380326,2.27649,7.319893,1620.37197
8.80665,2.532598,23.716177,1636.768254
6.534865,2.840197,40.465885,1653.517962
7.196431,2.757505,57.132837,1670.184914
4.870178,2.563639,73.785292,1686.837369
5.499776,2.28929,3.119665,1703.439038
39.689752,36.260249,53.313203,1753.632576
4.085407,2.83418,69.909016,1770.228389
4.919685,2.770433,86.557695,1786.877068
4.451088,2.615194,103.126819,1803.446192
4.574933,2.938121,3.080495,1820.528075
21.857274,19.562223,36.360189,1853.807769
4.472433,2.344878,52.977443,1870.425023
6.065594,2.744576,69.608681,1887.056261
4.829793,2.748416,3.302202,1903.842131
5.455391,2.346062,19.874046,1920.413975
6.00956,2.401744,36.50218,1937.042109
5.707369,2.487283,53.175948,1953.715877
4.38542,2.415153,69.829748,1970.369677
6.101948,2.77949,86.577504,1987.117433
5.88533,2.416368,103.338252,2003.878181
5.511713,2.654588,9.915086,2020.731158
6.14515,2.535638,26.371084,2037.187156
4.861507,2.60169,43.01554,2053.831612
5.598789,2.911656,59.770432,2070.586504
4.141569,2.667676,76.306274,2087.122346
4.698523,2.056352,2.226119,2103.729871
3.721709,2.87655,19.21603,2120.719782
