imu_to_display,predict_to_display,render_to_display,wall_time
1602037632023.9219,18.567649,24.112163,0.0
1602037632203.916,29.500766,204.106367,179.994204
1602037632220.3118,2.701406,220.502234,196.390071
1602037632253.8308,17.232483,254.021267,229.909104
1602037632287.2334,17.619989,287.423622,263.311459
1602037632303.9185,2.99694,304.108655,279.996492
1602037632322.5396,4.662746,20.698532,298.617775
1602037632337.1343,0.910442,35.293195,313.212438
1602037632353.8374,2.513493,51.996373,329.915616
1602037632370.665,2.331244,68.823812,346.743055
1602037632387.2559,2.645212,85.414729,363.333972
1602037632403.8357,2.584504,101.9947,379.913943
1602037632420.5225,2.505716,118.681493,396.600736
1602037632437.2546,2.490708,135.413504,413.332747
1602037632453.8352,2.579128,151.994308,429.913551
1602037632470.558,3.041262,168.717039,446.636282
1602037632487.2368,3.06955,185.395703,463.314946
1602037632503.9934,3.07992,202.152196,480.071439
1602037632520.7039,2.893191,218.862734,496.781977
1602037632604.0627,1.842422,302.221719,580.140962
1602037632620.8262,1.844278,318.985091,596.904334
1602037632654.2444,18.439643,352.403319,630.322562
1602037632670.9465,2.982954,369.105568,647.024811
1602037632687.4487,1.958395,385.607649,663.526892
1602037632720.9993,18.429146,419.158107,697.07735
1602037632737.4653,2.814979,8.576687,713.54362
1602037632754.177,2.419088,25.288377,730.25531
1602037632770.9436,2.239016,42.054854,747.021787
1602037632787.6426,2.767937,58.753936,763.720869
5.76046,2.687101,75.404311,780.371244
9.000035,5.981015,159.599751,864.566684
5.839184,1.934106,175.442024,880.408957
6.552369,2.614618,192.165235,897.132168
22.072772,19.565775,225.709197,930.67613
4.577717,2.650907,242.201516,947.168449
4.214468,1.262555,258.81365,963.780583
3.742767,2.53007,275.542525,980.509458
4.690235,2.519637,11.577979,997.287039
5.294038,2.58556,28.168575,1013.877635
36.462273,34.358175,78.428131,1064.137191
6.123773,2.6751,94.98679,1080.69585
3.73483,1.576905,111.659438,1097.368498
4.412237,1.912761,128.285684,1113.994744
19.728375,17.458989,161.623749,1147.332809
5.546818,2.78877,178.427987,1164.137047
4.319305,2.657948,195.198272,1180.907332
20.91323,17.539697,228.793756,1214.502816
5.04097,2.496692,22.950764,1230.685137
21.604333,19.270369,56.462468,1264.196841
5.178417,2.942601,73.119948,1280.854321
24.108802,21.759733,109.963135,1317.697508
