imu_to_display,predict_to_display,render_to_display,wall_time
1601961073524.6326,37.928481,55.878211,0.0
1601961073895.8381,100.933134,337.377456,371.205651
1601961073928.596,18.402742,370.135137,403.963332
1601961073962.3965,19.063702,30.869754,437.76391
1601961073997.3364,21.032945,65.809712,472.703868
1601961074028.746,17.561871,97.219298,504.113454
1601961074061.773,18.126922,130.246336,537.140492
1601961074095.259,19.562092,163.732562,570.626718
1601961074128.5862,19.04418,40.005666,603.953674
1601961074161.9656,19.37418,73.385104,637.333112
1601961074195.5298,19.633264,106.949126,670.897134
1601961074229.4775,20.007169,140.897006,704.845014
1601961074262.8044,18.496219,174.223866,738.171874
1601961074296.4053,19.621327,207.824658,771.772666
1601961074329.3904,18.577854,43.463106,804.757813
1601961074362.6758,19.322177,76.748588,838.043295
1601961074395.2698,18.792616,109.342549,870.637256
1601961074428.573,19.605998,142.645599,903.940306
1601961074462.2249,19.357571,30.606669,937.592461
1601961074478.5952,2.24852,46.976901,953.962693
1601961074513.2822,19.473833,81.663984,988.649776
1601961074545.8413,18.675811,114.223191,1021.208983
1601961074579.323,19.549164,147.704522,1054.690314
1601961074612.132,18.974705,31.190344,1087.499645
1601961074629.2258,3.27356,48.284034,1104.593335
1601961074662.4194,18.290065,81.477575,1137.786876
1601961074695.5447,19.267167,114.602665,1170.911966
1601961074729.0466,17.064505,148.104637,1204.413938
1601961074762.6165,17.479083,181.674707,1237.984008
1601961074796.5017,17.672277,47.531135,1271.869166
1601961074828.9858,16.831822,80.015427,1304.353458
1601961074846.1501,3.338107,97.17952,1321.517551
1601961074895.4907,32.288379,146.520371,1370.858402
1601961074931.2,20.208907,41.611276,1406.567548
1601961074962.21,16.915537,72.621291,1437.577563
1601961074995.5964,17.189791,106.007834,1470.964106
1601961075028.9863,18.169164,45.79739,1504.35388
1601961075062.2656,18.755495,79.076471,1537.632961
1601961075095.8022,19.342594,40.921612,1571.169846
1601961075113.1177,3.475329,58.23704,1588.485274
1601961075147.292,19.049621,92.411043,1622.659277
1601961075179.1836,17.862686,124.302988,1654.551222
1601961075213.7493,20.727011,158.868433,1689.116667
1601961075247.0889,19.525483,47.831373,1722.456487
1601961075279.6833,18.623137,80.425686,1755.0508
1601961075320.397,25.546402,46.767611,1795.76453
1601961075347.425,12.532262,73.795586,1822.792505
1601961075379.9985,18.1667,106.369099,1855.366018
1601961075412.7542,16.487005,139.124859,1888.121778
1601961075447.4,20.815238,28.336068,1922.767515
1601961075486.0293,24.618007,66.965414,1961.396861
1601961075518.8518,16.616644,99.78777,1994.219217
1601961075546.1577,13.178499,127.093869,2021.525316
1601961075580.3396,20.23694,161.275745,2055.707192
1601961075613.0396,17.326437,43.649579,2088.407078
1601961075663.1897,34.180947,93.799683,2138.557182
1601961075680.202,3.005931,24.554932,2155.569556
1601961075713.0913,16.97842,57.444171,2188.458795
1601961075755.7778,27.596321,100.130537,2231.145161
1601961075797.1802,27.048424,141.533132,2272.547756
22.293483,1.826261,26.633205,2288.48664
39.346435,32.302619,76.551106,2338.404541
11.016447,3.046893,26.970884,2355.290509
51.265965,44.804225,87.047402,2415.367027
14.666281,4.809856,30.779541,2438.948922
23.09192,19.018835,64.999241,2473.168622
24.274087,17.974786,97.172671,2505.342052
25.552675,19.568333,130.586863,2538.756244
42.373775,19.900444,31.820901,2572.534388
6.919553,2.274634,48.312291,2589.025778
26.537361,17.967363,81.926588,2622.640075
25.523426,19.564717,116.064461,2656.777948
24.629496,17.94957,148.136286,2688.849773
26.350183,19.678033,181.725045,2722.438532
25.600005,19.387684,41.733682,2755.77192
24.067101,18.234094,75.144961,2789.183199
26.413835,18.720165,108.539152,2822.57739
29.538716,18.6833,141.643761,2855.681999
20.242316,3.335579,159.356455,2873.394693
24.801344,17.979939,191.934864,2905.973102
26.067387,19.376196,225.18892,2939.227158
9.412405,2.345261,31.760354,2955.543819
24.886404,18.179596,65.348442,2989.131907
33.56319,21.96566,101.175321,3024.958786
30.424132,16.519839,131.905932,3055.689397
26.127517,19.535403,165.523717,3089.307182
28.189501,19.881755,47.021959,3123.359163
25.887186,18.439,79.73215,3156.069354
26.254563,20.529657,114.224311,3190.561515
24.551412,17.771225,146.334058,3222.671262
10.69288,3.337947,30.541482,3239.817946
24.977511,18.400566,63.859445,3273.135909
24.600214,18.87502,97.494607,3306.771071
26.506543,18.953392,130.37639,3339.652854
24.167746,18.797257,40.568732,3373.378772
10.143255,2.067072,56.614981,3389.425021
41.543145,35.020602,106.849185,3439.659225
27.238673,18.900174,140.182381,3472.992421
23.493923,15.382602,23.242711,3506.680769
9.706211,2.459986,39.654385,3523.092443
25.853969,19.003155,74.154899,3557.592957
22.774209,17.380455,107.504767,3590.942825
31.91041,18.486299,139.86083,3623.298888
9.472311,2.369678,27.077609,3639.620125
28.766328,18.631105,62.412658,3674.955174
25.031627,17.918816,94.670252,3707.212768
24.763197,18.093064,43.501763,3741.989358
23.26348,16.92677,74.9574,3773.444995
26.791516,17.77529,41.000176,3807.125631
24.196196,18.866412,74.361757,3840.487212
20.998126,10.592331,34.705131,3873.715506
25.55261,18.604063,67.722376,3906.732751
12.576424,3.170643,84.82157,3923.831945
40.851528,33.069855,135.066303,3974.076678
25.635046,18.403255,44.800128,4006.782197
30.305759,19.560652,78.581536,4040.563605
27.186351,18.3357,35.329033,4074.468764
10.81375,1.582665,50.890875,4090.030606
25.25426,18.012004,84.322955,4123.462686
32.141525,23.668491,123.182936,4162.322667
22.640763,13.025116,34.931318,4190.830966
25.567747,18.868076,67.925938,4223.825586
28.649586,19.662737,29.231757,4257.89648
28.110201,18.309362,61.649614,4290.314337
26.277956,18.764647,94.922583,4323.587306
30.903515,19.515114,128.479565,4357.144288
12.157365,2.283114,19.631216,4373.391091
31.280909,17.805467,53.299371,4407.059246
14.741036,6.484813,74.161203,4427.921078
42.161638,31.663838,120.630561,4474.390436
29.312913,18.632994,29.553373,4507.54948
27.599106,17.916544,62.764611,4540.760718
28.842171,17.949346,31.142854,4574.149308
34.005227,28.081624,73.229992,4616.236446
18.924719,11.607835,99.348325,4642.354779
27.00551,17.298116,41.56321,4674.20813
27.022407,18.59456,74.771184,4707.416104
11.728704,2.285098,91.396467,4724.041387
25.03153,17.032247,124.664828,4757.309748
29.515482,19.55902,158.185744,4790.830664
27.942321,19.346658,43.660075,4824.141107
11.470997,2.19095,60.172842,4840.653874
29.21278,17.933409,93.969515,4874.450547
28.559854,19.08767,127.400091,4907.881123
37.185791,25.347961,43.067216,4948.38694
19.929917,11.556536,68.859453,4974.179177
32.680142,19.758294,102.569371,5007.889095
11.295085,2.285002,28.134202,5024.156954
30.418692,18.417143,61.74213,5057.764882
40.345298,27.55056,104.49906,5100.521812
21.296989,10.350112,128.591634,5124.614386
29.339954,19.17577,161.610319,5157.633071
27.272051,18.299314,46.498479,5191.585848
10.45607,1.887672,62.611579,5207.698948
23.419648,16.529184,96.400252,5241.487621
42.455379,32.066481,145.906998,5290.994367
11.188552,2.896775,25.813327,5307.695431
29.047172,16.526559,59.36522,5341.247324
47.821229,34.265559,110.173948,5392.056052
28.85734,18.517532,65.601414,5425.158965
19.026355,2.785153,82.23921,5441.796761
31.255563,15.764604,114.993275,5474.550826
39.602031,17.906592,148.355336,5507.912887
28.344164,19.279071,28.507755,5541.582898
14.359962,3.978488,46.563857,5559.639
29.426198,16.915985,78.5808,5591.655943
32.321885,19.361667,111.888043,5624.963186
27.768137,20.148583,145.978617,5659.05376
27.597185,17.502733,35.899011,5691.847283
29.687042,19.165242,69.074087,5725.022359
14.17109,2.411568,14.707403,5741.428017
29.995249,17.650388,48.556943,5775.277557
24.019515,14.177842,20.301231,5825.293991
29.949647,19.898396,54.216246,5859.209006
30.427557,18.204909,86.721819,5891.714579
29.599198,20.142503,120.929295,5925.922055
27.444538,17.698934,29.94059,5958.741787
29.450519,19.211612,62.935722,5991.736919
10.076788,2.688029,14.303672,6008.319353
36.860431,18.83825,47.932721,6041.948402
31.946475,21.299549,83.332829,6077.34851
25.328888,17.137563,35.403691,6108.589896
16.71188,2.2466,51.851015,6125.03722
32.152212,20.355953,87.396089,6160.582294
29.342995,17.314724,119.510541,6192.696746
44.128897,32.340989,169.296948,6242.483153
31.164487,18.94104,56.007112,6275.474733
32.815956,19.783415,89.780456,6309.248077
45.058988,25.557891,133.858983,6353.326604
24.441231,7.163373,15.682968,6375.513426
34.651177,22.366958,52.283675,6412.114133
28.892797,16.181007,82.442803,6442.273261
30.072084,19.155834,41.931547,6476.56983
40.501401,18.363573,74.21663,6508.854913
35.134368,19.425958,107.786797,6542.42508
43.403999,22.665756,54.608711,6579.05542
36.802189,16.092652,84.662363,6609.109072
15.568019,4.146145,103.446115,6627.892824
48.308963,31.098724,151.277968,6675.724677
22.950153,2.305451,23.465377,6692.323143
41.090356,30.192698,74.573542,6743.431308
30.614605,18.318514,30.966526,6775.948274
10.965853,2.041759,47.289364,6792.271112
31.912714,18.743846,81.346657,6826.328405
27.864334,18.978098,114.200439,6859.182187
16.317398,2.637371,6.580146,6875.814863
27.939922,17.668533,40.044452,6909.279169
27.95877,18.671587,73.365423,6942.60014
36.751306,20.501496,107.817518,6977.052235
31.142214,18.467866,38.687428,7009.477197
34.479553,20.139463,73.039903,7043.829672
29.46252,19.103992,39.087415,7076.86151
26.116093,15.751676,71.828263,7109.602358
28.407527,18.823306,22.209543,7142.776634
16.207376,3.795824,40.089253,7160.656344
47.091947,34.551204,89.877677,7210.444768
14.039244,1.999645,31.01456,7226.456967
30.070837,18.545245,64.685948,7260.128355
28.5155,18.053958,97.396714,7292.839121
29.711683,19.468392,27.884334,7327.079751
28.688244,18.604735,60.819751,7360.015168
30.75298,19.801048,94.963481,7394.158898
28.062167,18.042854,35.365994,7426.527665
29.407478,19.97808,71.55433,7462.716001
28.649747,16.071979,30.043443,7493.985965
31.422067,19.636432,63.834164,7527.776686
48.020629,34.30732,112.419907,7576.362429
12.608361,2.338573,18.294801,7593.023235
33.975178,18.34578,51.871304,7626.599738
29.737125,19.465192,86.32452,7661.052954
28.900478,17.370087,35.243333,7693.315636
10.748339,2.714014,52.06885,7710.141153
25.953621,8.671795,89.400951,7747.473254
22.887527,14.257046,119.182974,7777.255277
28.241791,18.434776,32.501189,7811.544069
27.62445,17.110458,65.030987,7844.073867
35.744796,25.132687,105.039821,7884.082701
24.818112,11.692479,39.396229,7910.167784
15.296711,2.769441,56.014921,7926.786476
19.782359,10.341536,89.381654,7960.153209
31.635997,19.583022,124.333133,7995.104688
26.675158,15.576979,30.155448,8027.105181
29.805896,19.046868,63.362238,8060.311971
33.849668,19.3865,97.314951,8094.264684
30.780597,18.919662,47.868046,8127.190116
48.642675,36.452509,98.703527,8178.025597
33.112674,18.298066,63.839413,8210.995896
11.173575,2.570264,80.385653,8227.542136
