imu_to_display,predict_to_display,render_to_display,wall_time
1602038149205.1946,52.578286,118.80399,0.0
1602038149454.8662,40.115338,368.475635,249.671645
1602038149471.0352,2.298667,384.644707,265.840717
1602038149504.9517,18.996724,418.560909,299.756919
1602038149521.4802,2.214279,435.08971,316.28572
1602038149554.9353,18.247793,468.544866,349.740876
1602038149571.086,1.769266,484.695217,365.891227
1602038149604.5725,18.028518,518.181958,399.377968
1602038149621.402,2.703422,535.011541,416.207551
1602038149657.375,20.583933,570.98451,452.18052
1602038149688.047,12.378112,601.656657,482.852667
1602038149724.663,22.879752,638.272568,519.468578
1602038149756.103,14.757167,669.712367,550.908377
1602038149790.8892,20.800808,31.796199,585.694603
1602038149821.5918,16.872305,62.498843,616.397247
1602038149855.4521,18.455035,96.359202,650.257606
1602038149888.7031,19.40599,129.610348,683.508752
1602038149921.575,17.409065,162.482053,716.380457
1602038149955.0964,19.718678,196.003357,749.901761
1602038149989.615,20.638592,230.522274,784.420678
1602038150022.6968,19.070679,263.603781,817.502185
1602038150059.8704,23.344766,300.777574,854.675978
1602038150088.4526,12.675437,329.359639,883.258043
1602038150122.6814,19.814362,363.588496,917.4869
1602038150155.92,19.252928,396.826906,950.72531
1602038150191.9495,22.159687,432.856678,986.755082
1602038150223.7747,10.806615,36.230101,1018.580242
1602038150271.9946,27.08702,84.44988,1066.800021
1602038150288.357,2.417841,100.812113,1083.162254
1602038150322.0144,18.012646,134.469838,1116.819979
1602038150338.4785,2.267561,150.933932,1133.284073
1602038150372.2244,18.226736,184.679534,1167.029675
1602038150405.5334,16.020873,217.988827,1200.338968
1602038150422.637,3.158995,235.092471,1217.442612
1602038150455.097,18.122666,267.552188,1249.902329
1602038150489.111,19.03407,301.566379,1283.91652
1602038150538.65,33.296429,351.105227,1333.455368
1602038150555.3591,3.004972,32.765428,1350.164753
1602038150589.421,19.515531,66.826948,1384.226273
1602038150626.725,22.827398,104.131212,1421.530537
1602038150656.069,15.064732,133.475232,1450.874557
1602038150688.799,18.756009,166.205107,1483.604432
1602038150723.318,20.569084,200.724152,1518.123477
1602038150755.8489,18.131276,233.25517,1550.654495
1602038150789.455,18.21592,20.635744,1584.260506
1602038150822.641,18.293747,53.821767,1617.446529
1602038150855.6787,18.304531,86.859304,1650.484066
1602038150872.4478,2.476979,103.6285,1667.253262
1602038150906.1545,17.661302,137.335252,1700.960014
1602038150941.355,19.650802,172.535673,1736.160435
1602038150972.3567,17.121116,203.537435,1767.162197
1602038151005.8381,19.613744,237.018736,1800.643498
1602038151039.1565,18.254225,270.337118,1833.96188
