imu_to_display,predict_to_display,render_to_display,wall_time
1602038031091.7031,23.586985,33.933067,0.0
1602038031486.0935,106.805097,428.323542,394.390475
1602038031519.8381,19.72159,462.06812,428.135053
1602038031553.419,18.702758,495.64901,461.715943
1602038031585.3374,18.152589,527.567391,493.634324
1602038031602.0679,2.852869,544.297993,510.364926
1602038031637.4885,20.559292,579.718649,545.785582
1602038031669.419,18.152588,611.648806,577.715739
1602038031685.5503,2.339981,627.780245,593.847178
1602038031718.9375,18.180366,661.167462,627.234395
1602038031735.5024,2.726175,677.732233,643.799166
1602038031776.162,21.71605,718.392012,684.458945
1602038031802.586,10.303999,744.815705,710.882638
1602038031836.2266,18.28549,778.456566,744.523499
1602038031968.7744,100.102224,911.004268,877.071201
1602038032019.1062,35.347917,961.336274,927.403207
1602038032052.9702,19.871324,995.200121,961.267054
1602038032116.2385,48.701593,1058.468504,1024.535437
1602038032152.4312,22.174503,1094.660908,1060.727841
1602038032185.7715,19.635825,1128.001531,1094.068464
1602038032235.6726,35.974602,1177.902381,1143.969314
1602038032369.2878,38.73409,1311.517844,1277.584777
1602038032426.7297,43.41642,1368.959557,1335.02649
1602038032469.3284,28.509902,1411.558306,1377.625239
1602038032519.4238,32.955069,1461.653789,1427.720722
1602038032569.4915,34.486788,1511.721302,1477.788235
1602038032602.8975,18.955218,35.257384,1511.194333
1602038032619.2285,2.570392,51.588224,1527.525173
1602038032652.744,18.90824,85.103831,1561.04078
1602038032669.4702,2.920488,101.829985,1577.766934
1602038032702.8486,18.032519,135.208466,1611.145415
1602038032736.722,19.613968,169.081849,1645.018798
1602038032752.7473,1.791891,185.107107,1661.044056
1602038032786.1372,17.613555,218.496884,1694.433833
1602038032819.7542,19.278849,252.114192,1728.051141
1602038032853.0315,19.545741,285.39142,1761.328369
1602038032886.9023,19.820666,319.262148,1795.199097
1602038032920.4478,19.590319,352.80774,1828.744689
1602038032936.2424,1.636972,368.602459,1844.539408
1602038032975.6772,24.654267,408.036998,1883.973947
1602038033003.1233,13.300906,435.483106,1911.420055
1602038033019.8005,2.683453,452.16049,1928.097439
1602038033057.5352,22.421075,489.895206,1965.832155
1602038033086.9104,15.493008,519.270428,1995.207377
1602038033119.9092,19.092152,552.269147,2028.206096
1602038033136.4954,2.819651,568.855295,2044.792244
1602038033170.078,18.74612,602.437945,2078.374894
1602038033186.5405,2.599257,618.900343,2094.837292
1602038033220.015,16.743371,652.3747,2128.311649
1602038033255.0537,21.184217,687.413834,2163.350783
1602038033503.3254,233.756954,935.685288,2411.622237
1602038033537.2031,19.284737,969.563184,2445.500133
1602038033587.2683,30.533676,1019.628297,2495.565246
1602038033721.2559,107.56398,1153.615906,2629.552855
1602038033787.0503,51.20491,1219.410039,2695.346988
1602038033821.5293,20.372532,1253.889243,2729.826192
1602038033871.0405,32.910235,1303.400442,2779.337391
1602038033903.7815,19.00114,28.766522,2812.078274
1602038033920.4602,2.878374,45.445506,2828.757258
1602038033954.8018,19.383558,79.786752,2863.098504
1602038033987.9827,19.394726,112.967623,2896.279375
1602038034020.6536,18.632483,145.638679,2928.950431
1602038034037.3286,1.902137,162.313727,2945.625479
1602038034087.4023,35.021693,212.387448,2995.6992
1602038034357.421,23.232152,482.405833,3265.717585
1602038034387.4578,16.249652,512.443007,3295.754759
1602038034538.4097,111.431328,663.394925,3446.706677
1602038034588.0635,35.396271,713.048691,3496.360443
1602038034637.9617,32.916827,762.946756,3546.258508
1602038034687.9558,34.2198,812.940794,3596.252546
1602038034721.321,19.529644,34.193975,3629.617938
1602038034754.8953,19.351876,67.768177,3663.19214
1602038034787.9688,19.334884,100.841748,3696.265711
1602038034904.8154,102.808462,217.688207,3813.11217
1602038034956.4553,33.081475,269.328242,3864.752205
1602038035005.8564,35.308651,318.72942,3914.153383
1602038035057.136,34.768209,370.008733,3965.432696
1602038035088.3472,16.824014,401.220137,3996.6441
1602038035121.766,18.085065,434.638972,4030.062935
1602038035272.0166,111.246743,584.889449,4180.313412
1602038035329.2751,43.063379,642.148145,4237.572108
1602038035355.1255,11.531673,667.998468,4263.422431
1602038035405.887,36.217877,718.759837,4314.1838
1602038035438.5588,17.935074,751.431725,4346.855688
1602038035455.4045,2.997708,26.833793,4363.7014
1602038035488.627,18.006821,60.056138,4396.923745
1602038035505.6377,2.964746,77.066914,4413.934521
1602038035539.975,18.651492,111.404415,4448.272022
1602038035572.0513,17.40657,143.480467,4480.348074
1602038035588.9429,3.035277,160.372037,4497.239644
1602038035622.8398,18.780266,194.268942,4531.136549
1602038035638.6978,1.931833,210.127055,4546.994662
1602038035672.7314,18.126956,244.160607,4581.028214
1602038035705.4163,18.127499,276.845487,4613.713094
1602038035722.0557,2.816771,293.485045,4630.352652
1602038035756.3403,19.112217,327.76936,4664.636967
1602038035772.855,2.70883,344.2844,4681.152007
1602038035805.9927,18.31426,377.422038,4714.289645
1602038035822.189,2.365806,393.618407,4730.486014
1602038035857.656,20.158121,429.085305,4765.952912
1602038035889.7551,18.059785,461.184271,4798.051878
1602038035922.2402,18.512445,493.66959,4830.537197
1602038035939.181,2.91508,510.61009,4847.477697
1602038035973.142,19.114169,544.571286,4881.438893
1602038035988.8494,1.873368,560.278769,4897.146376
1602038036023.0642,19.124761,594.493576,4931.361183
1602038036059.4026,21.99344,630.831683,4967.69929
1602038036089.8674,16.485919,661.296684,4998.164291
1602038036122.5315,18.966642,693.960763,5030.82837
1602038036155.9993,19.316546,727.428592,5064.296199
1602038036289.5266,103.487278,860.955732,5197.823339
1602038036357.8582,53.309616,929.287199,5266.154806
1602038036393.6025,21.614926,965.031742,5301.899349
1602038036439.5293,30.22115,1010.95855,5347.826157
