imu_to_display,predict_to_display,render_to_display,wall_time
1606022756582.1077,8.587722,8.923258,0.0
1606022756591.5225,0.544573,18.338068,9.41481
1606022756599.8733,0.682745,1.913558,17.765523
1606022756608.0347,0.510924,10.075025,25.92699
1606022756616.8872,1.202573,3.926745,34.77962
1606022756625.048,0.509609,12.087565,42.94044
1606022756634.3135,1.632371,2.829246,52.205862
1606022756642.4827,0.514161,10.998323,60.374939
1606022756651.143,1.006513,3.054413,69.035601
1606022756659.3027,0.508846,11.213794,77.194982
1606022756668.3691,1.414611,3.082219,86.261414
1606022756676.5266,0.507501,11.23966,94.418855
1606022756685.6523,1.476184,3.10756,103.544548
1606022756695.5312,2.221702,12.986526,113.423514
1606022756703.9675,0.82183,3.397071,121.859762
1606022756712.889,1.234851,3.926136,130.781179
1606022756721.4233,0.848035,3.293439,139.315585
1606022756729.6301,0.51621,11.500457,147.522603
1606022756739.0867,1.797346,3.450395,156.978975
1606022756747.2869,0.514476,11.650527,165.179107
1606022756755.8455,0.902908,2.5386,173.737622
1606022756764.0896,0.555579,10.78293,181.981952
1606022756772.7546,1.010907,2.500816,190.6469
1606022756780.909,0.50635,10.655365,198.801449
1606022756790.0957,1.476697,3.399468,207.98787
1606022756798.2703,0.520771,11.574103,216.162505
1606022756807.5312,1.607383,3.277217,225.423527
1606022756815.7266,0.510885,11.472556,233.618866
1606022756824.8281,1.411697,3.069946,242.720365
1606022756833.0938,0.574252,11.335554,250.985973
1606022756842.134,1.381959,3.091633,260.026392
1606022756850.3362,0.512967,11.293787,268.228546
1606022756859.394,1.367545,3.119011,277.286482
1606022756867.6018,0.511518,11.326845,285.494316
1606022756876.6985,1.407325,3.106176,294.590585
1606022756884.8674,0.479026,11.275118,302.759527
1606022756894.0383,1.478119,3.14905,311.930598
1606022756903.7744,2.060986,12.885348,321.666896
1606022756912.577,1.144953,4.029576,330.469337
1606022756920.9172,0.690106,12.369684,338.809445
1606022756929.6387,1.064529,3.203605,347.531071
1606022756937.764,0.473225,11.328761,355.656227
1606022756946.1104,0.691683,2.221673,364.002783
1606022756954.273,0.473298,10.384122,372.165232
1606022756962.867,0.93415,2.61623,380.759341
1606022756971.0354,0.496623,10.784607,388.927718
1606022756979.3706,0.676411,2.182398,397.262791
1606022756987.4922,0.467971,10.304002,405.384395
1606022756996.5735,1.425139,3.162509,414.465826
1606022757004.6995,0.470926,11.28837,422.591687
1606022757013.0415,0.686147,2.238498,430.933673
1606022757021.1655,0.471111,10.362689,439.057864
1606022757031.314,2.490458,4.092084,449.206172
1606022757039.4604,0.479769,12.238598,457.352686
1606022757048.0088,0.898414,2.415361,465.901066
1606022757056.1213,0.463424,10.527959,474.013664
1606022757064.5042,0.732679,2.441871,482.396386
1606022757072.664,0.473095,10.601824,490.556339
1606022757081.1482,0.817833,2.43371,499.040559
1606022757089.2693,0.467833,10.554822,507.161671
1606022757097.9324,0.989048,2.395844,515.824518
1606022757106.0713,0.480493,10.534848,523.963522
1606022757114.406,0.643075,2.428537,532.298172
1606022757122.5635,0.469069,10.586305,540.45594
1606022757130.941,0.688766,2.435306,548.833363
1606022757139.065,0.469227,10.559204,556.957261
1606022757147.5503,0.799335,2.390166,565.442575
1606022757155.7456,0.470738,10.58542,573.637829
1606022757164.2158,0.808174,2.446245,582.108194
1606022757172.3801,0.475763,10.610647,590.272596
1606022757180.89,0.822507,2.125195,598.782145
1606022757189.1187,0.539817,10.354058,607.011008
1606022757198.4436,1.671313,3.846208,616.335793
1606022757206.558,0.469562,11.961033,624.450618
1606022757215.7412,1.516728,3.043724,633.633452
1606022757223.8997,0.469055,11.202286,641.792014
1606022757233.2537,1.657218,20.556211,651.145939
2.649531,0.479001,9.635278,659.297804
4.284811,0.983643,3.412056,667.969388
3.716904,0.749107,3.013373,676.400005
3.822231,0.469339,11.137343,684.523975
3.912972,1.392744,2.974773,693.598022
2.04687,0.444699,11.075236,701.698485
3.067271,1.330504,2.987996,710.716861
3.203056,0.469595,11.135156,718.864021
3.229296,1.341794,2.884578,727.918501
3.325674,0.4424,11.012812,736.046735
4.168632,1.184952,2.896925,744.88604
1.295184,0.442292,11.025113,753.014228
4.233525,1.242812,2.911359,761.952404
2.382459,0.44466,11.04194,770.082985
2.444153,1.41378,3.016106,779.152405
3.75878,1.557151,12.274688,788.410987
1.095878,0.744082,3.393609,796.811342
3.843141,1.058598,3.020685,805.560065
1.968854,0.499602,11.175124,813.714504
