imu_to_display,predict_to_display,render_to_display,wall_time
1606022838597.364,22.130541,22.382868,0.0
1606022838614.5188,5.576567,39.537879,17.155011
1606022838622.7131,0.527119,47.73202,25.349152
1606022838633.5576,0.689956,58.576472,36.193604
1606022838641.7678,0.519266,8.064968,44.404091
1606022838650.0647,0.609068,4.013707,52.700656
1606022838658.2834,0.519052,2.190959,60.919646
1606022838666.5015,0.520925,2.431659,69.137412
1606022838674.7073,0.517496,2.221891,77.343259
1606022838684.5757,2.179669,3.931241,87.211806
1606022838692.7866,0.522428,12.142232,95.422797
1606022838713.2021,0.578766,32.557779,115.838344
1606022838722.6335,1.743418,8.687317,125.269736
1606022838731.319,0.997594,1.488461,133.95511
1606022838739.991,1.01568,10.160531,142.62718
1606022838748.163,0.515586,2.586737,150.799132
1606022838756.3682,0.518216,2.213462,159.004333
1606022838764.7327,0.700187,2.000079,167.368694
1606022838773.0784,0.649491,2.65428,175.714476
1606022838781.2744,0.541008,2.630884,183.910423
1606022838789.6533,0.693483,2.426384,192.289329
1606022838797.9973,0.657481,2.530162,200.633451
1606022838806.3774,0.688845,2.546242,209.013738
1606022838814.6829,0.617676,2.512229,217.31907
1606022838824.0374,1.667967,3.443592,226.673471
1606022838832.4363,0.656816,11.842595,235.072474
1606022838840.696,0.61375,2.281724,243.332134
1606022838848.8965,0.514517,2.519235,251.532723
1606022838857.1748,0.547055,2.301333,259.811045
1606022838865.565,0.735412,2.50035,268.201131
1606022838873.7778,0.52362,2.388931,276.414167
1606022838881.9785,0.514623,2.270631,284.614715
1606022838890.1736,0.513613,2.209056,292.809822
1606022838898.3906,0.550603,1.920501,301.026569
1606022838906.5696,0.519505,2.346459,309.205618
1606022838914.7585,0.517626,2.368589,317.394746
1606022838922.946,0.532225,2.152947,325.582241
1606022838932.4817,1.880513,3.515913,335.117986
1606022838940.6777,0.513195,11.711777,343.31385
1606022838949.1038,0.772063,2.42762,351.739995
1606022838957.2883,0.523552,10.612325,359.9247
1606022838969.1782,0.719436,5.24442,371.814377
1606022838977.346,0.514262,6.45973,379.982115
1606022838985.5195,0.508667,2.215009,388.155697
1606022838993.6956,0.511002,2.175505,396.331584
1606022839001.902,0.514251,2.224544,404.53817
1606022839010.1006,0.509017,2.236271,412.73671
1606022839018.3035,0.513011,2.20683,420.939623
1606022839026.4773,0.511276,2.206128,429.113326
1606022839034.6833,0.527383,1.508748,437.319499
1606022839042.8542,0.515164,2.853751,445.490331
1606022839053.3613,2.818949,4.407204,455.997523
1606022839061.5212,0.51489,12.56695,464.157269
1606022839069.8333,0.625763,2.382237,472.469434
1606022839078.1228,0.602057,10.671702,480.758899
1606022839086.294,0.515638,2.264248,488.93004
1606022839094.524,0.541722,2.277944,497.159959
