imu_to_display,predict_to_display,render_to_display,wall_time
1606023020295.7139,16.360159,16.627792,0.0
1606023020304.8372,0.549609,25.751115,9.123323
1606023020313.3252,0.821819,5.241975,17.611575
1606023020323.6445,2.490387,15.561085,27.930685
1606023020332.1775,0.871238,2.11967,36.463542
1606023020340.428,0.54109,10.370463,44.714335
1606023020349.2468,0.529852,2.461014,53.532952
1606023020357.4106,0.514391,10.624849,61.696787
1606023020365.585,0.519987,3.961378,69.871078
1606023020374.8042,1.562099,2.978524,79.090491
1606023020382.9778,0.518384,11.152139,87.264106
1606023020392.6047,0.948384,3.549222,96.890928
1606023020400.8552,0.580525,3.896101,105.141456
1606023020410.2788,1.765898,3.396842,114.56529
1606023020418.5154,0.512427,11.633195,122.801643
1606023020427.2334,1.065632,2.818023,131.51945
1606023020435.4004,0.513621,10.985326,139.686753
1606023020443.9172,0.831149,2.271716,148.203449
1606023020452.125,0.518551,10.479568,156.411301
1606023020460.8445,0.630964,19.199075,165.130808
1606023020468.9985,0.515424,8.51506,173.284891
1606023020477.3713,0.708687,2.198586,181.657666
1606023020485.4773,0.421156,10.304517,189.763597
1606023020494.507,1.374149,2.64994,198.793243
1606023020502.5742,0.419798,10.717226,206.860529
1606023020510.652,0.424823,1.539104,214.938321
1606023020518.8037,0.496193,2.064481,223.089891
1606023020527.3782,0.902513,1.40412,231.66443
1606023020535.4878,0.422135,9.513615,239.773925
1606023020543.5588,0.419308,17.584939,247.845249
1606023020551.6365,0.423553,3.087808,255.922629
1606023020559.747,0.446835,1.702674,264.033431
1606023020567.8533,0.422188,3.749289,272.139605
1606023020576.6106,1.102351,2.114883,280.89691
1606023020584.6863,0.424408,10.190453,288.97248
1606023020593.2422,0.884644,2.107563,297.528326
1606023020601.3125,0.418142,10.177897,305.59866
1606023020609.4565,0.493119,2.653242,313.743005
1606023020617.5276,0.418125,10.724094,321.813857
1606023020626.2925,1.114097,2.660209,330.578811
1606023020634.3677,0.421572,10.735477,338.654079
1606023020643.0896,1.103015,2.671106,347.375866
1606023020651.1592,0.417644,10.740745,355.445505
1606023020659.9424,1.111873,2.03049,364.228661
1606023020668.0208,0.42394,10.108919,372.30709
1606023020677.5706,1.858841,4.07491,381.856795
1606023020685.6826,0.424127,3.619229,389.969002
1606023020694.019,0.650446,2.122296,398.305223
1606023020702.131,0.422699,10.234552,406.417479
1606023020711.932,2.145342,2.35244,416.218291
1606023020720.0632,0.431479,10.483582,424.349433
1606023020728.1729,0.445636,1.68255,432.458988
1606023020736.3022,0.432646,2.384776,440.588684
1606023020744.4216,0.426946,1.896782,448.707772
1606023020752.541,0.423956,2.418608,456.827185
1606023020760.6514,0.454074,2.96832,464.937648
1606023020768.8704,0.558925,2.137782,473.156686
1606023020777.0051,0.441423,10.272464,481.291368
1606023020785.1902,0.526137,2.130488,489.476511
1606023020793.3203,0.448547,10.260471,497.606494
1606023020803.1797,2.180735,2.819259,507.466136
1606023020811.2424,0.413579,10.882002,515.528879
1606023020819.3384,0.424843,2.989958,523.624748
1606023020827.942,0.949841,2.712249,532.228069
1606023020837.0215,1.389293,2.137296,541.307707
1606023020845.0894,0.419634,10.205007,549.375418
1606023020853.1768,0.427356,3.218774,557.463066
1606023020863.4204,2.149739,3.768645,567.706803
3.79838,1.69183,5.631703,577.05572
2.075008,0.616191,2.177332,585.330826
4.33954,0.622142,2.367007,593.592974
2.17245,1.167468,1.413376,602.428271
9.245193,0.385387,9.479061,610.493956
2.837981,0.479779,18.018288,619.033183
2.898881,0.427141,3.648605,627.128195
2.141526,0.553066,1.979601,635.344174
2.357736,0.586282,3.542311,643.581346
3.036737,1.021702,2.846877,652.287226
4.482292,0.753712,1.475158,660.727331
2.722373,0.53713,9.698144,668.950317
2.77304,0.37896,2.400438,676.995717
4.059651,0.60827,2.305534,685.283315
3.447933,0.818095,3.452239,693.706714
3.208757,1.041316,2.813429,702.408481
3.248725,0.415793,2.8904,710.475577
4.175434,1.308629,2.89735,719.434386
3.31875,0.475485,2.890149,727.558754
3.410236,0.45777,2.10543,735.667901
3.41727,0.369704,10.138244,743.700715
3.438645,1.367662,2.905742,752.720083
1.772155,0.584547,2.831898,760.972075
4.697158,1.237143,3.037775,769.898589
2.930877,0.55644,1.957511,778.122037
1.974015,0.422685,2.146061,786.200443
2.022757,0.415672,2.005123,794.26692
4.161931,0.486098,2.044895,802.409226
1.436027,0.620364,2.361267,810.685698
1.487732,0.373013,3.114721,818.719117
3.890662,0.753411,2.075258,827.140679
1.155097,0.518117,10.278375,835.343796
