imu_to_display,predict_to_display,render_to_display,wall_time
1606030807474.7693,6.885217,7.727752,0.0
1606030807612.1306,13.263434,82.852499,137.361182
1606030807619.9917,3.021261,7.13198,145.222412
1606030807627.4604,2.610138,14.60052,152.690952
1606030807634.645,2.415248,21.78511,159.875542
1606030807643.1995,3.811282,9.725797,168.429989
1606030807650.269,2.301643,16.79531,175.499502
1606030807657.3215,2.242953,23.847703,182.551895
1606030807666.9822,4.893956,11.029154,192.212601
1606030807676.7283,4.977064,6.505551,201.958847
1606030807684.1226,2.290251,13.899751,209.353047
1606030807693.6199,4.769054,5.147119,218.850481
1606030807700.613,2.247401,12.140277,225.843639
1606030807708.598,3.229495,20.125129,233.828491
1606030807716.3132,2.958378,8.464618,241.543922
1606030807725.3755,4.343658,5.128015,250.606072
1606030807733.9094,3.488355,13.661949,259.140006
1606030807743.895,5.087469,5.340185,269.125655
1606030807751.1702,2.460051,12.615116,276.400586
1606030807759.3071,3.350492,20.751975,284.537445
1606030807767.4336,3.384573,10.108151,292.663967
1606030807774.8755,2.726687,17.550194,300.10601
1606030807782.7058,3.092112,9.808521,307.936391
1606030807792.671,5.125167,5.465887,317.901559
1606030807800.6453,3.123985,13.44021,325.875882
1606030807810.9526,3.952056,5.209715,336.18321
1606030807818.125,2.353293,12.381985,343.35548
1606030807825.2751,2.311371,19.53211,350.505605
1606030807832.869,2.832708,8.967682,358.099431
1606030807840.1333,2.496116,16.232116,365.363865
1606030807847.808,2.87527,23.906906,373.038655
1606030807855.881,3.236471,10.030579,381.111639
1606030807864.932,4.280615,5.16264,390.162332
1606030807872.233,2.460082,12.463876,397.463568
1606030807879.8364,2.695549,20.06727,405.066962
1606030807888.3413,3.704269,9.672003,413.571871
1606030807895.4712,2.322156,16.801775,420.701643
1606030807906.5063,6.143903,27.836977,431.736845
1606030807913.609,2.340269,12.615627,438.839543
1606030807920.991,2.658492,19.997603,446.221519
1606030807930.6052,4.847202,10.540747,455.835759
1606030807961.325,4.018075,9.208781,486.555494
1606030807970.521,3.415583,10.603214,495.751506
1606030807978.9788,3.708077,5.190386,504.209436
1606030807986.893,2.375055,13.104643,512.123693
1606030807993.8552,2.209863,20.066791,519.085841
1606030808003.329,4.702843,11.437972,528.55969
1606030808011.6077,3.52746,5.136623,536.83822
1606030808018.9766,2.495092,12.505574,544.207171
1606030808026.4998,2.555831,20.028836,551.730433
1606030808034.7126,3.426752,10.046132,559.943072
1606030808043.7485,4.30004,5.140144,568.979205
1606030808051.0127,2.379023,12.40413,576.243191
1606030808058.1133,2.247625,19.504749,583.34381
1606030808066.367,3.510371,9.000131,591.597506
1606030808075.8958,4.768286,5.282998,601.126398
1606030808083.0142,2.293995,12.401186,608.244586
1606030808090.4143,2.615097,19.801594,615.644994
1606030808098.0613,2.915143,8.947904,623.291878
1606030808107.8242,4.935142,5.152336,633.054733
1606030808114.9417,2.284523,12.269884,640.172281
1606030808122.552,2.593849,19.880222,647.782619
1606030808129.7617,2.419025,8.601745,654.992459
1606030808137.1887,2.532406,16.028523,662.419237
1606030808145.4194,3.395262,10.18857,670.650148
1606030808154.8833,4.738429,5.042059,680.113917
1606030808162.0605,2.31806,12.219321,687.291179
1606030808169.1858,2.327756,19.344453,694.416311
1606030808177.3706,3.43808,9.88318,702.601268
1606030808186.8362,4.73878,5.018505,712.066733
1606030808193.8235,2.250857,12.005903,719.054131
1606030808201.4055,2.77997,19.587792,726.63602
1606030808209.5125,3.274136,9.352243,734.742957
1606030808219.121,4.831617,5.278998,744.351725
1606030808226.3125,2.378095,12.470181,751.542908
1606030808233.6987,2.441458,19.856669,758.929396
1606030808242.386,3.924151,10.239005,767.616361
1606030808249.3706,2.225256,17.223842,774.601198
1606030808256.521,2.330189,24.374031,781.751387
1606030808264.196,2.949417,9.293969,789.426688
1606030808272.2637,2.517173,17.361481,797.4942
1606030808280.151,3.076239,10.344129,805.381287
1606030808287.4736,2.548631,17.667031,812.704189
1606030808294.7412,2.40248,24.934569,819.971727
1606030808303.658,4.156641,11.209898,828.888654
1606030808311.9412,3.137586,19.492972,837.171728
1606030808320.374,3.675211,9.852235,845.604569
1606030808327.3806,2.283434,16.858929,852.611263
1606030808336.3967,4.240901,6.136862,861.627235
1606030808343.661,2.443953,13.401008,868.891381
1606030808350.9546,2.4156,20.694596,876.184969
1606030808358.2925,2.610586,8.92224,883.523103
1606030808365.4739,2.342989,16.103502,890.704365
1606030808374.7087,4.482513,11.394547,899.939164
1606030808381.95,2.513397,18.635876,907.180493
1606030808389.238,2.544854,25.923959,914.468576
1606030808397.2197,3.217782,9.709636,922.450356
1606030808407.2698,5.004937,5.299287,932.50052
1606030808414.4407,2.382863,12.469925,939.671158
1606030808421.553,2.366126,19.582288,946.783521
1606030808429.998,3.620329,9.056998,955.228683
104.951864,4.885156,5.501728,964.895661
5.233652,2.446674,12.7973,972.191233
9.100744,4.924965,5.218291,982.074765
6.076699,2.345645,12.267099,989.123573
3.70318,2.564759,19.801082,996.657556
5.170353,2.678205,8.936417,1004.136625
4.275176,2.364431,16.040588,1011.240796
4.614807,2.502869,9.173387,1018.59477
5.966261,2.530965,16.523809,1025.945192
4.889795,3.142578,9.732933,1033.847224
4.239365,2.576024,17.073659,1041.18795
6.941987,4.931334,5.214131,1050.903763
4.15869,2.421617,12.425315,1058.114947
5.532929,2.53295,19.803354,1065.492986
3.713517,2.417808,8.358373,1072.680521
7.765962,5.224787,18.401977,1082.724125
4.791999,2.317132,12.156246,1089.765189
3.146866,2.581848,19.528877,1097.13782
4.55346,2.639675,8.888702,1104.505555
5.78251,2.456883,16.147633,1111.764486
4.029756,2.495061,9.057222,1118.980598
6.277316,3.505891,17.332199,1127.255575
5.873394,2.727839,10.438118,1134.852985
8.514989,2.578745,18.095467,1142.510334
4.541812,3.28697,10.452391,1150.519123
3.663179,2.305099,17.567826,1157.634558
4.961127,2.384143,24.860486,1164.927218
6.113053,2.429137,8.948609,1172.083839
4.444015,2.43925,16.267926,1179.403156
4.534675,2.394863,8.90403,1186.544768
5.421789,3.03707,16.765229,1194.405967
3.736878,2.459506,9.500058,1201.703714
5.102158,2.586713,16.871922,1209.075578
