imu_to_display,predict_to_display,render_to_display,wall_time
1606030981180.2285,41.05484,41.874206,0.0
1606030981305.7034,11.802469,167.349169,125.474963
1606030981312.88,2.382607,174.525696,132.65149
1606030981320.0303,2.383151,181.676013,139.801807
1606030981326.9614,2.217383,188.607183,146.732977
1606030981334.1448,2.430961,195.790494,153.916288
1606030981341.5295,2.605946,3.911318,161.30108
1606030981351.885,5.57322,14.266712,171.656474
1606030981359.6985,2.601849,22.080228,179.46999
1606030981366.8086,2.305835,29.190351,186.580113
1606030981374.1765,2.547895,36.558182,193.947944
1606030981384.2297,5.067756,46.611258,204.00102
1606030981391.9187,2.903143,11.080804,211.690114
1606030981399.3726,2.656123,18.534623,219.143933
1606030981406.6753,2.557368,25.837364,226.446674
1606030981416.2786,4.606967,35.440659,236.049969
1606030981427.1719,2.704286,13.764801,246.943372
1606030981436.8298,4.164482,23.422819,256.60139
1606030981444.199,2.463283,30.791898,263.970469
1606030981452.325,3.315354,4.98404,272.096255
1606030981460.5095,3.400415,13.16871,280.280925
1606030981467.8386,2.441426,20.497915,287.61013
1606030981474.8403,2.221384,27.499649,294.611864
1606030981489.3105,9.572062,41.969827,309.082042
1606030981496.8967,2.583608,15.236965,316.668251
1606030981504.0876,2.405808,22.4277,323.858986
1606030981513.895,4.917349,32.235229,333.666515
1606030981554.8677,36.15538,44.634399,374.639111
1606030981564.2856,4.326249,54.052469,384.057181
1606030981571.384,2.294987,61.150848,391.15556
1606030981578.3992,2.260042,68.166023,398.170735
1606030981608.2703,19.179518,98.037142,428.041854
1606030981617.8438,4.757021,107.610547,437.615259
1606030981637.3682,14.696845,23.26742,457.139529
1606030981644.9297,2.52879,30.829308,464.701417
1606030981652.233,2.431825,38.132304,472.004413
1606030981659.7349,2.714014,5.103181,479.50633
1606030981672.5776,8.119354,17.945955,492.349104
1606030981679.8015,2.383279,25.169908,499.573057
1606030981686.8652,2.231656,32.233565,506.636714
1606030981696.7866,3.668267,42.155147,516.558296
1606030981705.2888,3.604872,50.657079,525.060228
1606030981714.5952,4.529907,12.593066,534.366741
1606030981722.7244,3.319995,20.722085,542.49576
1606030981731.2334,3.686892,29.231089,551.004764
1606030981741.462,5.482271,10.082293,561.233624
1606030981771.3252,2.512981,9.419863,591.096743
1606030981780.8188,4.584981,18.913649,600.590529
1606030981789.2686,3.649162,10.909148,609.040043
1606030981796.2744,2.197735,17.914914,616.045809
1606030981803.1643,2.127395,24.804963,622.935858
1606030981812.8638,4.823328,34.504358,632.635253
1606030981822.1963,4.523027,12.663822,641.96772
1606030981829.9624,2.86071,20.430104,649.734002
1606030981837.0552,2.267114,27.522882,656.82678
1606030981846.1892,4.372875,36.657035,665.960933
1606030981855.2998,4.364556,12.550601,675.07147
1606030981862.8792,2.752641,20.129834,682.650703
1606030981869.6345,2.010366,26.885188,689.406057
1606030981877.442,2.980011,34.692336,697.213205
1606030981889.0684,6.792764,12.303357,708.839826
1606030981896.322,2.45701,19.557199,716.093668
1606030981904.482,3.357852,27.717099,724.253568
1606030981914.193,4.955847,37.428079,733.964548
1606030981922.2603,3.301882,12.043537,742.031644
1606030981929.3245,2.278122,19.107866,749.095973
1606030981936.2095,2.072928,25.99289,755.980997
1606030981943.5017,2.510805,33.285134,763.273241
1606030981954.3965,6.092731,11.305038,774.167892
1606030981966.688,7.51459,23.596587,786.459441
1606030981974.211,2.673436,31.119465,793.982319
1606030981981.302,2.263881,38.210675,801.073529
1606030981988.5154,2.44549,45.424067,808.286921
1606030981998.8298,5.577348,10.80924,818.601226
1606030982036.866,33.229132,48.845603,856.637589
1606030982044.4167,2.365935,56.396291,864.188277
1606030982051.7073,2.474451,63.686838,871.478824
1606030982058.8281,2.31678,70.807426,878.599412
