imu_to_display,predict_to_display,render_to_display,wall_time
1606031376720.0825,11.013601,13.026207,0.0
1606031376981.1765,34.081267,208.106105,261.094268
1606031376997.3042,11.176712,24.423889,277.221835
1606031377016.8337,14.598055,43.953534,296.75148
1606031377030.5742,8.832731,26.537555,310.491896
1606031377042.57,6.956644,38.533218,322.487559
1606031377059.5774,12.160887,14.150419,339.494879
1606031377072.3296,7.795979,26.90266,352.24712
1606031377085.986,8.657267,40.559328,365.903788
1606031377102.1206,11.174696,22.332719,382.038235
1606031377119.1218,12.091539,12.263163,399.039603
1606031377134.4148,10.338241,27.555939,414.332379
1606031377145.889,5.032778,39.030329,425.806769
1606031377164.2073,13.427985,19.266881,444.125062
1606031377175.443,6.304709,30.502732,455.360913
1606031377191.0417,10.288287,46.101155,470.959336
1606031377206.8027,10.821688,23.607883,486.720197
1606031377224.7695,12.954395,14.060495,504.687242
1606031377236.2065,6.477229,25.497443,516.12419
1606031377252.1587,11.010241,41.449514,532.076261
1606031377266.4788,9.457752,20.865196,546.396448
1606031377277.6873,6.107485,32.073718,557.60497
1606031377295.1333,12.486565,15.824865,575.050774
1606031377305.934,5.83656,26.625784,585.851693
1606031377321.3523,10.260286,42.044006,601.269915
1606031377337.1,10.847545,21.168058,617.017624
1606031377349.0024,6.997574,33.070532,628.920098
1606031377366.505,12.623948,19.087033,646.422641
1606031377378.7253,7.292627,31.30741,658.643018
1606031377397.86,14.288409,15.090047,677.777637
1606031377409.5522,6.786972,26.782207,689.469797
1606031377423.0334,8.515148,40.263411,702.951001
1606031377441.0737,13.15306,15.123104,720.991265
1606031377452.6648,6.703,26.714236,732.582397
1606031377472.1655,14.536741,16.015402,752.083369
1606031377485.0667,7.853997,28.91629,764.984257
1606031377499.1157,8.73471,42.96536,779.033327
1606031377513.057,9.076902,19.21315,792.974488
1606031377530.0156,12.012303,36.172084,809.933422
1606031377546.247,11.21105,26.141249,826.16477
1606031377556.9917,5.817711,36.885941,836.909462
1606031377573.2969,11.335888,53.191052,853.214573
1606031377586.7048,8.548366,19.263137,866.622462
1606031377601.8447,10.091925,34.402913,881.762238
1606031377619.6516,10.947742,23.455461,899.569148
1606031377636.156,8.326532,39.959813,916.0735
1606031377652.7698,11.693473,24.235017,932.68749
1606031377663.6711,5.952565,35.136228,943.588701
1606031377678.1287,9.418678,49.593701,958.046174
1606031377692.9243,9.935566,23.260091,972.842159
1606031377711.6116,12.903385,41.947105,991.529173
1606031377726.322,9.578686,27.447582,1006.239554
1606031377743.4446,12.113684,16.647079,1023.362111
1606031377754.9302,6.58293,28.13283,1034.847862
1606031377769.5393,9.635744,42.741798,1049.45683
1606031377784.2559,9.660033,21.468647,1064.173291
1606031377801.064,11.495223,38.27695,1080.981594
1606031377815.1282,9.176651,23.616876,1095.045609
1606031377829.7441,9.601407,38.233076,1109.661809
1606031377846.063,11.446581,23.515527,1125.980809
1606031377864.096,12.813333,13.394992,1144.013585
1606031377876.0938,6.059354,25.392798,1156.011391
1606031377893.3826,12.176599,42.681763,1173.300356
1606031377909.7847,11.428308,15.193827,1189.702176
1606031377923.548,8.861373,28.957412,1203.465761
1606031377938.309,9.787592,43.718451,1218.2268
1606031377956.4307,13.231656,26.345003,1236.348124
1606031377972.4854,11.220458,12.384864,1252.403111
1606031377983.9326,6.577778,23.832021,1263.850268
1606031378001.3699,12.400417,41.269313,1281.28756
1606031378016.4368,10.127096,23.136533,1296.354438
1606031378031.0208,9.4542,10.089718,1310.938349
1606031378045.2795,9.305202,24.348398,1325.197029
1606031378061.2615,10.267326,40.33055,1341.179181
1606031378076.7075,10.488648,23.020496,1356.625276
1606031378095.197,13.347054,13.867814,1375.114521
1606031378106.4316,6.206593,25.102737,1386.349444
1606031378123.0208,11.791077,14.101296,1402.938408
1606031378137.036,8.903231,28.116253,1416.953365
1606031378149.714,7.593281,40.794571,1429.631683
1606031378168.997,14.384222,16.818543,1448.914725
1606031378179.5854,5.687497,27.407004,1459.503186
1606031378193.0693,8.59512,40.8908,1472.986982
16.408828,13.601914,21.744725,1491.625802
7.402841,5.117646,31.809001,1501.690078
8.984674,6.338023,43.383332,1513.264409
15.178659,12.214969,16.780813,1530.404119
12.269404,8.78825,30.836956,1544.460262
10.326465,6.502159,43.9808,1557.604106
12.486181,10.259454,14.318139,1572.754731
8.154811,5.701769,24.939881,1583.376473
15.602134,12.327358,12.899192,1600.857351
9.668322,7.220528,25.040974,1612.999133
10.448934,7.901648,37.8128,1625.770959
9.848811,8.455626,18.463612,1639.122237
11.071075,8.954753,32.666065,1653.32469
11.29659,8.320996,20.333491,1666.545498
11.062307,8.711253,34.11346,1680.325467
17.439596,11.482231,22.223339,1696.695926
12.688238,9.358963,36.434848,1710.907435
11.38373,8.778553,22.709409,1724.601609
13.679261,10.17545,38.086957,1739.979157
12.447844,8.754456,21.89974,1753.70466
10.733684,8.318659,35.280363,1767.085283
10.200027,7.449275,17.759419,1779.420001
11.947244,8.400359,31.47753,1793.138112
13.608889,9.843114,20.017188,1807.815019
17.96234,14.362653,39.402763,1827.200594
10.733812,5.882098,23.353152,1837.999817
8.433609,6.250915,35.066529,1849.713194
14.685036,12.216121,17.90221,1866.911531
9.893549,8.325668,31.176748,1880.186069
11.646495,9.549213,47.923448,1896.932769
11.597628,10.003953,20.491962,1911.855159
13.410449,11.876105,15.761502,1928.633989
12.669901,9.362355,30.040758,1942.913245
15.130528,12.141845,17.13955,1960.413484
8.726678,6.665878,28.781372,1972.055306
12.33443,8.493931,42.328083,1985.602017
10.850265,8.635858,19.015125,1999.113686
12.480613,9.501626,33.625085,2013.723646
10.18777,7.80846,19.256833,2026.430926
7.298836,3.986906,28.339816,2035.513909
14.665707,12.164599,18.445979,2052.953281
8.223711,5.42342,28.974501,2063.481803
9.099367,5.93122,39.804413,2074.311715
17.013721,14.006252,20.284561,2093.283767
11.186601,5.192722,30.429993,2103.429199
10.512169,8.388167,44.754692,2117.753898
13.182854,9.93531,20.15313,2132.555963
12.079858,10.833784,35.982443,2148.385276
10.397636,8.369478,23.090739,2161.61194
15.303273,12.868984,43.033748,2181.554949
8.740855,4.456175,21.763541,2191.015965
8.804345,5.150415,31.802152,2201.054576
16.142319,12.454531,15.320297,2218.365046
8.89587,5.814543,26.111968,2229.156717
7.831917,5.038987,36.031214,2239.075963
15.349802,10.69573,15.894436,2254.616238
9.127273,5.714058,26.62588,2265.347682
16.264021,12.23625,14.077007,2282.490144
9.552188,6.377512,25.383549,2293.796686
10.839288,7.476508,38.656743,2307.06988
16.192242,12.482213,18.355223,2324.453506
10.115767,5.956757,29.276819,2335.375102
9.748454,7.663332,41.969346,2348.067629
11.988782,8.319235,18.983636,2361.255475
6.742298,4.286887,28.729722,2371.001561
16.210482,11.722017,17.855295,2387.482616
8.102297,5.034602,27.766605,2397.393926
9.275344,6.262276,38.936309,2408.56363
14.416447,11.242795,15.877763,2424.698205
8.361445,5.929364,26.810816,2435.631258
6.580819,4.195459,35.994988,2444.81543
15.764382,11.376977,15.232133,2461.082235
8.020086,5.17813,25.461922,2471.312024
12.180791,5.206195,35.60601,2481.456112
15.326505,13.135811,17.972261,2499.610141
9.920525,5.618021,28.589171,2510.227051
13.40632,10.355074,44.047075,2525.684955
13.110147,10.806807,21.473864,2541.398711
11.787173,10.268798,37.11312,2557.037967
12.50567,9.812585,23.192471,2571.759484
13.089506,10.305664,38.816719,2587.383732
12.263323,9.127145,21.7357,2601.521798
17.213921,12.648781,39.718233,2619.504331
8.512012,4.182051,21.285599,2628.863167
