imu_to_display,predict_to_display,render_to_display,wall_time
1606022642920.138,12.623717,12.899066,0.0
1606022642929.2488,0.541339,22.009815,9.110749
1606022642937.4377,0.524004,3.731522,17.299589
1606022642945.6477,0.523738,2.279478,25.509522
1606022642953.8667,0.515315,2.263924,33.728677
1606022642962.0652,0.513571,2.15695,41.927181
1606022642971.031,1.278092,2.717782,50.892901
1606022642979.2253,0.54833,3.028163,59.087361
1606022642987.398,0.518047,2.307688,67.259931
1606022642995.568,0.518367,2.287426,75.429971
1606022643004.4302,1.209828,2.869504,84.292087
1606022643012.6025,0.52062,2.837281,92.464539
1606022643020.765,0.511217,2.160091,100.626805
1606022643028.926,0.509344,2.152345,108.787912
1606022643037.0962,0.518526,2.142279,116.958195
1606022643045.3162,0.553433,1.993565,125.178075
1606022643053.4893,0.517441,2.220304,133.351074
1606022643061.6467,0.506412,2.332396,141.508746
1606022643069.8076,0.508284,2.133944,149.669458
1606022643077.9773,0.515844,2.14011,157.839197
1606022643086.1418,0.511549,2.112201,166.003789
1606022643094.7947,1.046451,2.630235,174.656743
1606022643102.991,0.509181,2.74441,182.852734
1606022643111.1816,0.528705,2.092088,191.04358
1606022643119.3628,0.5254,2.18439,199.224653
1606022643127.9585,0.914512,2.607066,207.820489
1606022643136.124,0.511938,2.625098,215.985896
1606022643144.318,0.508665,2.195985,224.180223
1606022643152.5132,0.509012,2.211563,232.375231
1606022643160.7131,0.512931,2.21537,240.575135
1606022643168.8796,0.512962,2.207221,248.741559
1606022643177.0771,0.531467,2.118426,256.939207
1606022643185.2512,0.517566,2.149486,265.113169
1606022643193.4458,0.512888,2.241791,273.30784
1606022643201.6064,0.508645,2.180498,281.468228
1606022643209.7742,0.513208,2.108756,289.636001
1606022643217.9753,0.547529,2.183247,297.837318
1606022643226.362,0.73604,2.41585,306.223959
1606022643234.6638,0.612868,2.503595,314.525762
1606022643242.8103,0.478675,2.270121,322.672223
1606022643251.2297,0.757199,2.283145,331.091584
1606022643259.3835,0.46773,2.413958,339.245355
1606022643267.6572,0.585795,2.327483,347.5191
1606022643275.993,0.650448,2.412848,355.854703
1606022643284.3738,0.699883,2.556109,364.235734
1606022643292.6733,0.61196,2.479727,372.535225
1606022643301.0413,0.681934,2.447907,380.902995
1606022643309.444,0.733546,2.629132,389.306125
1606022643317.8242,0.687889,2.285332,397.686187
1606022643326.0515,0.571934,2.756271,405.91342
1606022643334.383,0.646965,2.391588,414.244931
1606022643342.6848,0.614396,2.451515,422.546748
1606022643351.0215,0.650493,2.467507,430.883534
1606022643359.3574,0.643152,2.465747,439.219252
1606022643367.6797,0.668488,2.517859,447.541763
1606022643376.0906,0.752796,2.547472,455.952667
1606022643384.3838,0.632009,1.98437,464.245798
1606022643392.7239,0.652735,2.710566,472.585832
1606022643401.0295,0.610272,2.482585,480.891501
1606022643409.4016,0.749627,2.476097,489.263567
1606022643417.6426,0.553545,2.441281,497.504374
1606022643425.997,0.700158,2.439823,505.859038
1606022643434.2979,0.606679,2.412234,514.159748
1606022643442.7974,0.809338,2.624941,522.659361
1606022643451.0667,0.60851,2.357247,530.928426
1606022643459.3618,0.627185,2.566379,539.223694
1606022643467.723,0.709101,2.511582,547.58487
1606022643476.0469,0.641136,2.393573,555.908786
1606022643484.3594,0.663497,2.477444,564.221261
1606022643492.702,0.680156,2.561907,572.563944
1606022643501.0334,0.678744,2.413416,580.895369
1606022643509.4607,0.774325,2.649189,589.322716
1606022643518.403,0.559648,2.883256,598.265123
1606022643527.648,1.54651,4.263441,607.509916
1606022643535.8564,0.514448,3.252374,615.718187
1606022643544.0212,0.511008,2.230261,623.883125
1606022643552.1821,0.507931,2.145351,632.043989
1606022643560.92,1.052704,2.718475,640.781668
1606022643569.0852,0.513969,2.6896,648.947155
1606022643577.2979,0.548025,2.191454,657.159933
1606022643585.4712,0.518655,2.018047,665.333273
1606022643593.6904,0.528904,2.291781,673.552283
1606022643601.8875,0.512135,2.291069,681.749456
1606022643610.053,0.511759,2.184616,689.914837
1606022643618.2166,0.511885,2.122156,698.078393
1606022643626.4434,0.546617,2.2062,706.305283
1606022643634.7744,0.637722,2.359106,714.636352
1606022643643.14,0.678291,2.461915,723.001748
1606022643651.6394,0.832177,2.42828,731.501285
1606022643659.8296,0.511331,2.60857,739.691336
1606022643668.0815,0.566622,2.303931,747.943561
1606022643676.4155,0.648662,2.425244,756.277533
1606022643684.5564,0.532842,2.275913,764.418229
1606022643692.7063,0.498002,2.088306,772.568123
1606022643700.9922,0.597677,2.25454,780.854184
1606022643709.438,0.798869,2.375303,789.299765
1606022643720.9045,0.529628,5.786105,800.766313
1606022643729.127,0.551168,5.300811,808.988957
1606022643737.297,0.515302,2.500284,817.159119
1606022643746.1743,1.225663,2.88949,826.036104
1606022643754.3765,0.515466,2.892106,834.238292
1606022643762.545,0.514456,2.166131,842.406744
1606022643770.7473,0.514565,2.241791,850.609235
1606022643778.9456,0.538324,1.946593,858.807393
1606022643787.1157,0.516158,2.332808,866.977602
1606022643795.33,0.549002,2.28059,875.191955
1606022643803.5247,0.509603,2.240155,883.386572
