imu_to_display,predict_to_display,render_to_display,wall_time
1606030928932.909,4.902436,5.951285,0.0
1606030929067.3157,9.885773,140.357833,134.406548
1606030929074.5256,2.418033,147.567769,141.616484
1606030929083.2107,3.888405,156.252941,150.301656
1606030929090.858,2.838148,163.900113,157.948828
1606030929098.016,2.420049,171.058143,165.106858
1606030929105.102,2.331565,178.144329,172.193044
1606030929112.2441,2.417392,185.286325,179.33504
1606030929119.3145,2.364078,192.356606,186.405321
1606030929126.394,2.318764,199.436264,193.484979
1606030929133.5444,2.374862,206.586613,200.635328
1606030929141.701,2.435121,214.742961,208.791676
1606030929148.8982,2.404496,221.940512,215.989227
1606030929162.067,7.961043,235.10919,229.157905
1606030929178.6287,11.767108,21.718388,245.71938
1606030929189.936,6.552689,33.025986,257.026978
1606030929203.151,8.424457,46.24065,270.241642
1606030929215.5947,7.662116,58.684653,282.685645
1606030929224.3337,3.957336,67.423812,291.424804
1606030929231.9485,2.719551,75.038343,299.039335
1606030929246.9827,10.196123,90.072547,314.073539
1606030929261.6055,9.865931,23.619948,328.696236
1606030929275.6428,8.393703,37.65753,342.733818
1606030929289.7612,9.221069,51.775883,356.852171
1606030929301.434,6.8624,63.448619,368.524907
1606030929316.235,7.98354,78.249532,383.32582
1606030929331.404,10.338434,21.124248,398.494847
1606030929345.1829,8.992642,34.903225,412.273824
1606030929358.9001,8.897214,48.620536,425.991135
1606030929372.5847,8.932736,62.305045,439.675644
1606030929379.8833,2.366862,69.603593,446.974192
1606030929387.6763,3.033197,77.396372,454.766971
1606030929398.7698,6.233698,88.489945,465.860544
1606030929413.6558,10.09919,16.70689,480.746645
1606030929426.313,7.857518,29.36396,493.403715
1606030929438.7598,7.735816,41.810683,505.850438
1606030929453.5103,10.041171,56.56129,520.601045
1606030929461.6782,3.400159,64.729351,528.769106
1606030929469.5493,3.04507,72.600405,536.64016
1606030929482.7078,8.395463,85.758874,549.798629
1606030929498.2415,10.70085,17.589331,565.33228
1606030929511.8093,8.794457,31.157163,578.900112
1606030929525.5288,8.907071,44.876746,592.619695
1606030929538.441,8.087257,57.788836,605.531785
1606030929551.7388,8.433129,71.086799,618.829748
1606030929565.1592,8.653651,16.677897,632.249925
1606030929577.3389,7.431226,28.857792,644.42982
1606030929590.3745,8.323683,41.893279,657.465307
1606030929607.3193,12.185719,58.8381,674.410128
1606030929615.0164,2.931849,66.535355,682.107383
1606030929622.0725,2.278282,73.591363,689.163391
1606030929636.387,9.417623,87.905982,703.47801
1606030929651.0835,9.905709,22.697889,718.17447
1606030929756.4202,5.71665,49.190259,823.510992
1606030929771.0203,9.762887,17.532305,838.111256
1606030929783.2908,7.489212,29.802764,850.381715
1606030929795.6174,7.525566,42.129418,862.708369
1606030929811.067,10.664561,57.578682,878.157633
1606030929819.0774,2.765537,65.589167,886.168118
1606030929826.9924,3.158483,73.504224,894.083175
1606030929840.5435,8.742519,9.35506,907.63443
1606030929855.2864,9.945711,24.09773,922.3771
1606030929869.076,9.028772,37.887364,936.166734
1606030929883.527,9.52582,52.338662,950.618032
1606030929896.0999,7.746793,64.911311,963.190681
1606030929903.4604,2.571736,72.271942,970.551312
1606030929910.66,2.381487,79.471381,977.750751
