imu_to_display,predict_to_display,render_to_display,wall_time
1606031449617.9587,22.328399,23.834037,0.0
1606031449840.0208,19.497996,245.896248,222.062211
1606031449853.9294,8.903295,259.804832,235.970795
1606031449863.595,4.758334,269.470402,245.636365
1606031449873.1829,4.566356,279.058336,255.224299
1606031449883.9822,5.894802,289.857527,266.02349
1606031449893.1445,4.285608,299.01997,275.185933
1606031450027.3496,7.629155,433.22497,409.390933
1606031450038.1934,5.942357,444.068867,420.23483
1606031450047.8484,4.576021,453.72378,429.889743
1606031450057.6343,4.586774,463.509868,439.675831
1606031450067.609,5.107981,473.484316,449.650279
1606031450081.507,8.88307,487.382532,463.548495
1606031450090.924,4.514706,496.79945,472.965413
1606031450102.3894,6.566738,508.26504,484.431003
1606031450113.122,5.788877,518.997411,495.163374
1606031450126.7495,8.482827,532.624862,508.790825
1606031450152.5186,20.763431,558.393998,534.559961
1606031450183.0085,25.52538,45.217049,565.04986
1606031450204.731,16.811855,66.939565,586.772376
1606031450233.3635,23.646733,95.572162,615.404973
1606031450263.4336,25.198933,125.641946,645.474757
1606031450285.3696,17.021976,147.578231,667.411042
1606031450302.0168,11.692256,164.225374,684.058185
1606031450326.315,18.720839,188.523561,708.356372
1606031450355.313,24.092482,37.061886,737.354395
1606031450379.0261,18.846606,60.775054,761.067563
1606031450408.474,24.509333,90.223113,790.515622
1606031450439.2725,25.905206,121.021443,821.313952
1606031450461.7363,17.531985,143.485465,843.777974
1606031450473.616,6.845055,155.364738,855.657247
1606031450497.9678,19.362149,179.716687,880.009196
1606031450527.6274,24.776897,36.705837,909.669009
1606031450549.1714,16.642982,58.249752,931.212924
1606031450579.592,25.190965,88.670049,961.633221
1606031450609.9626,25.460578,119.040967,992.004139
1606031450629.9744,15.003546,139.052522,1012.015694
1606031450641.6414,6.760091,150.719594,1023.682766
1606031450666.768,19.913088,175.846396,1048.809568
1606031450696.9148,25.217686,28.786428,1078.956187
1606031450721.2407,19.375142,53.112393,1103.282152
1606031450751.518,25.312698,83.389578,1133.559337
1606031450779.8088,23.390081,111.680496,1161.850255
1606031450801.7588,16.782478,133.630446,1183.800205
1606031450815.0916,8.37815,146.963162,1197.132921
1606031450829.6492,9.61392,161.520832,1211.690591
1606031450853.1436,18.5616,185.015238,1235.184997
1606031450884.1038,26.03046,41.803482,1266.14519
1606031450907.5837,18.53888,65.28336,1289.625068
1606031450936.1448,23.633484,93.844689,1318.186397
1606031450967.8103,26.569685,125.510068,1349.851776
1606031450989.9482,17.107036,147.64793,1371.989638
1606031451004.6816,8.448041,162.38148,1386.723188
1606031451018.6096,8.805978,176.309361,1400.651069
1606031451045.9675,22.44863,23.638285,1428.008919
1606031451076.47,25.519748,54.140761,1458.511395
1606031451105.6287,24.119171,83.299558,1487.670192
1606031451134.1858,23.395521,111.856408,1516.227042
1606031451158.3113,19.140347,135.982043,1540.352677
1606031451171.6348,8.41508,149.305352,1553.675986
1606031451194.5056,17.673462,172.176528,1576.547162
1606031451224.8796,25.477795,37.751678,1606.921089
1606031451246.4114,16.570179,59.283272,1628.452683
1606031451275.2864,23.94457,88.158344,1657.327755
1606031451305.8606,24.979403,118.732632,1687.902043
1606031451331.0022,20.226093,143.874154,1713.043565
1606031451341.5781,5.524769,154.450263,1723.619674
1606031451357.3784,10.246398,170.250295,1739.419706
1606031451383.2153,20.925166,23.617611,1765.25678
1606031451412.8613,24.655644,53.263696,1794.902865
1606031451442.9375,25.206262,83.339848,1824.979017
1606031451472.7478,24.878982,113.14994,1854.789109
1606031451496.324,18.59085,136.726238,1878.365407
1606031451517.873,16.607909,158.275433,1899.914602
1606031451544.1033,21.278238,184.505358,1926.144527
1606031451572.9917,23.901273,44.402547,1955.03304
1606031451594.9631,17.059226,66.374226,1977.004719
1606031451625.3145,25.425695,96.725527,2007.35602
