imu_to_display,predict_to_display,render_to_display,wall_time
1606031579052.5034,27.099725,46.01779,0.0
1606031579276.8154,34.652334,270.329802,224.312012
1606031579287.9668,6.028633,281.481297,235.463507
1606031579298.9556,5.634342,292.470064,246.452274
1606031579308.7979,4.951431,302.312411,256.294621
1606031579320.9746,7.190255,314.489074,268.471284
1606031579333.071,7.138221,326.585669,280.567879
1606031579342.9768,4.943782,336.491282,290.473492
1606031579353.9722,6.014744,347.486642,301.468852
1606031579363.8486,4.994825,357.363134,311.345344
1606031579374.196,5.389787,367.710463,321.692673
1606031579385.358,6.337575,378.872327,332.854537
1606031579394.9312,4.642584,388.445733,342.427943
1606031579412.7236,10.114871,406.238209,360.220419
1606031579453.613,35.821636,447.127569,401.109779
1606031579486.3394,27.825551,60.597669,433.835974
1606031579510.0466,18.766569,84.305237,457.543542
1606031579553.412,38.493792,127.670552,500.908857
1606031579583.8315,25.494787,158.090016,531.328321
1606031579611.6946,22.934508,185.952946,559.191251
1606031579630.3916,13.645915,204.649848,577.888153
1606031579650.4463,15.190627,224.704702,597.943007
1606031579732.2742,76.869083,306.532704,679.771009
1606031579748.8477,10.774518,323.105923,696.344228
1606031579803.3848,49.581284,53.169355,750.881583
1606031579829.2866,20.983185,79.071073,776.783301
1606031579848.9863,14.699852,98.770902,796.48313
1606031579933.0623,77.879914,182.846689,880.558917
1606031579985.0137,46.840068,234.798355,932.510583
1606031580013.338,23.445572,25.959353,960.834526
1606031580040.26,22.001568,52.88163,987.756803
1606031580053.6292,8.437897,66.250637,1001.12581
1606031580069.3845,10.821815,82.00609,1016.881263
1606031580182.9624,108.433336,195.583986,1130.459159
1606031580217.4253,29.394873,69.031054,1164.922108
1606031580241.246,18.926481,92.851875,1188.742929
1606031580252.0227,5.865618,103.628441,1199.519495
1606031580266.6953,9.205837,118.300996,1214.19205
1606031580347.7166,76.044853,199.322304,1295.213358
1606031580402.9404,50.308806,52.730199,1350.437113
1606031580429.8677,22.005953,79.657629,1377.364543
1606031580445.3198,10.518634,95.109804,1392.816718
1606031580460.7993,9.95688,110.588957,1408.295871
1606031580574.9172,35.940618,224.707006,1522.41392
1606031580609.917,30.072312,68.430514,1557.413725
1606031580633.0156,18.218385,91.529062,1580.512273
1606031580643.6887,5.749771,102.202326,1591.185537
1606031580657.4688,8.286306,115.982232,1604.965443
1606031580743.631,81.238247,202.144708,1691.127919
1606031580797.9006,49.381179,51.536223,1745.397165
1606031580823.2705,20.430839,76.906172,1770.767114
1606031580840.4773,12.272155,94.113021,1787.973963
1606031580926.8738,80.639947,180.509716,1874.370658
1606031580981.2932,49.225587,52.29133,1928.789991
1606031581007.7188,21.514954,78.716849,1955.21551
1606031581026.5544,13.904264,97.552446,1974.051107
1606031581114.2913,82.760301,185.289266,2061.787927
1606031581167.8647,48.640985,51.394329,2115.361462
1606031581195.2026,22.44178,78.732241,2142.699374
1606031581214.6052,13.955466,98.134809,2162.101942
1606031581228.89,8.938048,112.41941,2176.386543
1606031581240.0293,6.149854,123.558744,2187.525877
1606031581250.5205,5.552387,134.050177,2198.01731
1606031581263.53,8.124891,147.059519,2211.026652
1606031581275.8428,7.326997,159.372412,2223.339545
1606031581286.1223,5.292278,169.65193,2233.619063
1606031581297.5132,6.527984,181.042861,2245.009994
1606031581309.6704,7.211056,193.199907,2257.16704
1606031581397.0085,82.078253,280.538277,2344.50541
1606031581449.2437,47.300026,50.473998,2396.740386
1606031581478.1304,23.967484,79.360655,2425.627043
1606031581493.1821,10.119512,94.41246,2440.678848
1606031581504.8174,6.629492,106.047785,2452.314173
1606031581521.4736,11.691617,122.703985,2468.970373
1606031581533.7712,7.127468,135.001677,2481.268065
1606031581544.5269,5.520705,145.757218,2492.023606
1606031581557.4236,7.518302,158.65385,2504.920238
1606031581569.6333,7.302708,170.863699,2517.130087
1606031581579.9958,5.466334,181.226197,2527.492585
1606031581593.1191,8.175548,194.349688,2540.616076
1606031581679.6912,81.438064,280.921719,2627.188107
1606031581733.842,49.208243,51.907921,2681.338532
1606031581758.6204,19.774265,76.686579,2706.11719
1606031581777.3662,13.88679,95.432347,2724.862958
1606031581792.93,10.642448,110.996048,2740.426659
1606031581804.531,6.629557,122.597036,2752.027647
10.733396,6.687031,134.670462,2764.101073
10.525898,7.828268,147.388302,2776.818913
9.691011,6.268452,158.545942,2787.976553
9.209485,6.52904,170.047213,2799.477824
9.178796,6.058042,181.05483,2810.485441
10.651696,6.464301,192.479746,2821.910357
73.565089,71.778958,269.418208,2898.848819
51.869455,50.375466,51.45206,2954.138721
24.604793,20.793448,77.19633,2979.882991
12.418914,9.678466,92.039965,2994.726626
76.084502,73.820877,170.772303,3073.458964
50.767612,48.712188,51.742153,3127.046707
23.521863,20.863564,77.574972,3152.879526
14.499043,10.862522,93.496929,3168.801483
75.036198,72.692505,171.034523,3246.339077
52.396232,48.541428,52.222432,3300.781292
23.097043,19.680852,76.824889,3325.383749
13.991979,12.077618,93.739596,3342.298456
7.471836,5.867825,104.51085,3353.06971
8.878974,5.166257,114.619673,3363.178533
7.350774,4.653017,124.100082,3372.658942
9.431831,6.259363,135.212759,3383.771619
7.454427,4.098367,144.177785,3392.736645
8.307811,6.040633,155.06882,3403.62768
7.480732,4.364491,164.355716,3412.914576
8.164508,5.715914,174.946705,3423.505565
8.550222,5.314903,185.296403,3433.855263
76.330753,72.790204,263.164956,3511.723816
52.123291,49.712778,52.325924,3566.445852
21.773237,19.553294,76.967327,3591.087255
14.326747,11.545978,93.584709,3607.704637
9.089927,5.994935,104.4728,3618.592728
9.217101,5.046411,114.437488,3628.557416
6.734937,4.608822,123.959563,3638.079491
9.243247,4.564565,133.420292,3647.54022
8.356453,4.282056,142.590895,3656.710823
7.748744,4.425678,151.927329,3666.047257
8.987298,5.397627,162.187423,3676.307351
8.145435,5.268789,172.38953,3686.509458
