imu_to_display,predict_to_display,render_to_display,wall_time
1606031034233.4775,4.069278,4.840514,0.0
1606031034627.9397,11.695617,206.672216,394.461985
1606031034642.241,9.514811,14.839859,408.763547
1606031034653.1687,6.155359,25.767408,419.691096
1606031034660.3757,2.40456,32.974655,426.898343
1606031034669.2048,3.340923,41.803418,435.727106
1606031034709.4028,3.320186,82.001546,475.925234
1606031034734.9717,20.762695,107.570481,501.494169
1606031034744.6433,4.879395,8.230239,511.165627
1606031034756.691,7.262802,20.278064,523.213452
1606031034764.7515,3.259736,28.338376,531.273764
1606031034806.3364,36.735022,69.92348,572.858868
1606031034825.874,14.772496,18.307412,592.396386
1606031034840.922,10.241117,33.355633,607.444607
1606031034852.9307,7.201615,45.364032,619.453006
1606031034860.3848,2.649019,52.818267,626.907241
1606031034868.1873,2.809795,60.620615,634.709589
1606031034910.2407,37.044829,102.674093,676.763067
1606031034931.431,16.365754,20.039398,697.953206
1606031034946.4834,10.267327,35.092163,713.005971
1606031034957.6646,6.446092,46.273035,724.186843
1606031034964.76,2.315948,53.36863,731.282438
1606031034971.8818,2.335116,60.490209,738.404017
1606031035015.422,38.631815,104.030797,781.944605
1606031035036.9204,16.741324,20.500443,803.44263
1606031035052.2566,10.529002,35.836645,818.778832
1606031035063.0413,6.005975,46.621627,829.563814
1606031035070.1306,2.315212,53.710822,836.653009
1606031035077.6567,2.779585,61.236964,844.179151
1606031035119.0405,36.16786,102.620843,885.56303
1606031035136.1467,12.218169,15.907845,902.669139
1606031035150.738,9.797448,30.498924,917.260218
1606031035162.7756,7.294132,42.536669,929.297963
1606031035171.2937,3.749102,51.054761,937.816055
1606031035213.1345,37.064222,92.895686,979.65698
1606031035230.4019,12.49623,16.100046,996.924152
1606031035246.1602,10.960447,31.858508,1012.682614
1606031035258.4727,7.520126,44.170921,1024.995027
1606031035266.9124,3.650474,52.610578,1033.434684
1606031035274.466,2.793922,60.164402,1040.988508
1606031035327.478,13.380527,113.176342,1094.000448
1606031035342.8586,10.555948,28.642614,1109.381101
1606031035355.043,7.395672,40.827085,1121.565572
1606031035362.8564,3.018925,48.640345,1129.378832
1606031035370.345,2.722239,56.129014,1136.867501
1606031035423.4985,14.275481,109.282369,1190.020856
1606031035438.7122,10.442502,28.427307,1205.234524
1606031035451.9302,8.364166,41.645203,1218.45242
1606031035459.9197,3.065807,49.634791,1226.442008
1606031035502.5508,37.797888,92.266056,1269.073273
1606031035523.326,15.983785,19.792858,1289.848353
1606031035538.964,10.858298,35.43125,1305.486745
1606031035550.3254,6.614996,46.792547,1316.848042
1606031035557.4548,2.334029,53.921839,1323.977334
1606031035564.7354,2.510933,61.202178,1331.257673
1606031035605.6116,36.091024,102.078321,1372.133816
1606031035623.3208,12.925082,16.570148,1389.843345
1606031035637.0222,8.924703,30.27133,1403.544527
1606031035649.9001,8.012533,43.149242,1416.422439
1606031035657.654,2.965802,50.903139,1424.176336
1606031035665.097,2.588312,58.346205,1431.619402
1606031035705.2031,2.889926,98.452425,1471.725622
1606031035726.1426,16.124175,22.557914,1492.664997
1606031035742.3816,11.442292,38.796942,1508.904025
1606031035753.4397,6.275172,49.855121,1519.962204
1606031035760.89,2.609721,57.305228,1527.412311
1606031035768.8318,3.019756,65.24707,1535.354153
1606031035823.9226,16.379323,120.33802,1590.445103
1606031035838.2097,9.520987,29.179279,1604.7322
1606031035850.5215,7.526782,41.491212,1617.044133
1606031035858.0269,2.69171,48.996266,1624.549187
1606031035865.7517,2.92372,56.721233,1632.274154
4.601494,2.982187,96.907361,1672.460282
16.884626,15.466096,22.018529,1692.757003
14.173812,10.446663,37.261223,1707.999697
7.41881,6.437932,48.513203,1719.251677
4.696379,2.528182,55.853097,1726.591571
6.449261,2.862726,63.583825,1734.322299
17.108605,14.259992,114.201286,1784.93976
12.308381,9.423159,27.165393,1799.138597
9.816169,7.697543,39.681592,1811.654796
5.765068,4.222277,48.687195,1820.660399
5.19557,2.614874,56.075219,1828.048423
14.124818,12.962012,105.004154,1876.977358
15.546164,11.619389,28.163136,1893.389578
10.223036,7.817996,40.837998,1906.06444
5.282582,2.283723,47.917752,1913.144194
5.31932,2.248201,54.956544,1920.182986
37.477873,34.288957,94.129792,1959.356234
19.162589,15.886948,19.474251,1980.033197
13.114147,10.187579,34.425251,1994.984197
9.83089,6.901313,46.115075,2006.674021
38.571685,35.676734,86.879854,2047.4388
19.362597,16.038186,19.791001,2068.265497
14.267736,11.003584,35.639419,2084.113915
8.650643,6.604532,47.072208,2095.546704
5.873393,2.403664,54.258078,2102.732574
3.816306,2.316044,61.326152,2109.800648
37.797792,35.059776,101.222729,2149.697225
19.977282,16.390331,19.88323,2170.88074
11.949644,10.127639,34.818069,2185.815579
8.397991,6.659382,46.271787,2197.269297
4.654105,2.43045,53.526429,2204.523939
3.820082,2.522901,60.842385,2211.839895
36.037294,33.203146,98.942079,2249.939589
17.405898,16.519585,20.320402,2271.280455
11.630302,9.450936,34.57505,2285.535103
8.119066,6.69708,46.064257,2297.02431
5.328792,2.356366,53.218894,2304.178947
6.406698,2.320396,60.306968,2311.267021
37.36318,35.012863,100.432581,2351.392634
18.243346,15.941479,19.651731,2372.113023
11.171752,9.339795,33.766564,2386.227856
7.650725,6.296454,45.054706,2397.515998
4.711772,2.265834,52.119739,2404.581031
4.870051,2.280427,59.270216,2411.731508
37.470641,33.820775,97.881998,2450.34329
18.714119,16.435229,20.31173,2471.633433
12.222906,9.65693,34.796213,2486.117916
9.600447,6.550481,46.156102,2497.477805
3.665579,2.333901,53.254096,2504.575799
3.652906,2.18935,60.20306,2511.524763
37.888517,35.47154,100.441158,2551.762861
18.563425,15.947719,17.986566,2572.486354
12.683087,9.376021,32.084246,2586.584034
9.044774,6.512592,43.412678,2597.912466
6.197729,2.342478,50.584276,2605.084064
4.659161,2.656251,58.054383,2612.554171
19.168957,14.610441,108.542847,2663.042635
13.472979,9.503194,27.861393,2677.360869
12.025808,7.765673,40.406745,2689.906221
5.030666,2.290411,47.485091,2696.984567
4.077758,2.228744,54.489065,2703.988541
38.12456,35.163878,94.504433,2744.003909
18.917073,16.039691,19.740663,2764.821678
12.088339,9.421527,33.917067,2778.998082
9.53334,6.627956,45.342047,2790.423062
4.608599,2.258697,52.421001,2797.502016
4.756989,2.376879,59.642009,2804.723024
36.756272,33.913195,98.568654,2843.649669
18.408953,15.89914,19.640531,2864.308743
12.75909,10.550987,35.000702,2879.668914
9.337811,6.821374,46.604251,2891.272463
3.494979,2.330605,53.717478,2898.38569
4.602326,2.398063,60.877075,2905.545287
36.084912,34.647598,100.298335,2944.966547
16.14568,13.286923,17.075739,2963.048093
10.188506,8.446697,30.28525,2976.257604
9.143946,8.046583,43.105175,2989.077529
4.512786,2.628219,50.485935,2996.458289
4.820704,2.559671,57.814852,3003.787206
35.44005,33.025858,96.364231,3042.336585
18.939154,16.689129,20.553021,3063.86642
12.056338,9.236782,34.703792,3078.017191
8.316899,6.392106,45.900217,3089.213616
6.554834,2.397712,53.168972,3096.482371
3.958264,2.608089,60.552227,3103.865626
37.961704,35.206472,100.5851,3143.898499
18.996757,16.191986,20.413303,3164.908565
10.317537,8.566639,33.766853,3178.262115
8.693109,6.657078,45.152151,3189.647413
5.718859,2.222184,52.142685,3196.637947
4.85981,2.39944,59.278473,3203.773735
34.641198,33.987215,98.075896,3242.571158
19.006997,16.569379,20.357428,3263.955385
10.187035,9.337843,34.536073,3278.13403
9.650658,6.617012,45.965341,3289.563298
6.792924,2.354765,53.124106,3296.722063
4.16173,2.572632,60.474945,3304.072902
38.44675,34.721841,99.996241,3343.594198
19.641298,16.133807,19.957601,3364.560198
11.510424,9.11076,33.849,3378.451597
8.280225,6.895265,45.601451,3390.204048
5.318648,2.313324,52.681717,3397.284314
4.513298,2.320652,59.828738,3404.431335
36.58052,34.126934,98.903422,3443.506019
17.633749,16.267893,20.008932,3464.54415
12.45258,10.084085,34.891001,3479.426219
9.357044,7.060713,46.738593,3491.273811
5.424093,2.27185,53.817003,3498.352221
8.006613,5.788941,64.417016,3508.952234
16.217363,14.541477,114.602649,3559.137867
11.136071,9.162347,27.1356,3573.106038
9.145642,8.091705,40.091659,3586.062097
4.138849,2.266282,47.114386,3593.084824
6.240035,2.374094,54.24547,3600.215908
36.587432,34.329151,93.539332,3639.50977
17.735066,16.398396,20.123722,3660.655779
14.585095,11.069571,35.981132,3676.513189
7.323605,5.917044,47.748272,3688.280329
4.426862,2.274058,54.83897,3695.371027
4.551604,2.364814,61.97015,3702.502207
35.838085,34.206937,101.234987,3741.767044
20.020388,16.402715,20.176587,3762.954462
11.333136,9.551357,34.506855,3777.28473
7.957203,6.961124,46.254186,3789.032061
4.099775,2.2482,53.269104,3796.046979
4.494641,2.656891,60.679529,3803.457404
36.861301,34.532104,100.023122,3842.800997
18.671622,16.058572,19.887806,3863.638223
12.556232,10.078165,34.754482,3878.504899
9.782888,7.42889,46.981164,3890.731581
5.781645,2.297675,54.04434,3897.794757
4.205924,2.547959,61.396331,3905.146748
15.917285,14.068911,113.098706,3956.849123
11.549082,9.903374,27.255382,3971.49515
10.709043,8.397287,40.427547,3984.667315
5.738027,2.240809,47.447394,3991.687162
6.028441,2.552727,54.765303,3999.005071
37.515283,34.613739,94.231108,4038.470876
18.658373,16.364698,20.111241,4059.608917
14.233879,10.932605,35.830565,4075.328241
8.511948,6.302053,46.98158,4086.479256
4.718972,2.378703,54.175355,4093.673031
5.163665,2.70003,61.647479,4101.145155
49.708907,46.659837,113.222297,4152.719973
12.333406,8.901054,28.1784,4167.292971
9.899373,7.779723,40.729481,4179.844052
5.431453,2.764385,48.26708,4187.381651
4.587702,2.419249,55.478264,4194.592835
37.302889,34.934011,95.214258,4234.328829
18.342518,16.159664,19.921567,4255.338735
12.54788,9.413174,34.118164,4269.535332
10.333121,8.011061,46.894727,4282.311895
5.038667,2.824644,54.585934,4290.003102
5.395259,2.647067,62.003687,4297.420855
36.240504,33.908747,100.777909,4336.195077
17.647126,16.718859,20.520316,4357.695534
13.19799,9.611263,35.008894,4372.184112
9.923406,6.917442,46.729504,4383.904722
4.8889,2.185158,53.677092,4390.85231
3.972377,2.575928,61.02985,4398.205068
38.53085,34.495782,100.333696,4437.508914
17.014328,15.865411,19.618225,4458.139603
10.468168,9.501403,33.9307,4472.452078
10.803031,7.665989,46.406033,4484.927411
4.929477,2.222855,53.423191,4491.944569
