imu_to_display,predict_to_display,render_to_display,wall_time
1602035596682.6216,0.490783,8.249411,0.0
1602035596699.9373,1.000912,25.564895,17.315484
1602035596715.245,0.132837,13.381395,32.623372
1602035596732.5962,2.057095,30.732462,49.974439
1602035596749.0784,1.112366,4.921323,66.456578
1602035596765.1016,0.668017,5.059519,82.479747
1602035596781.6313,1.161355,4.106262,99.009427
1602035596798.902,1.929418,4.820827,116.280189
1602035596815.0405,0.938467,7.233786,132.418627
1602035596831.9001,1.471575,4.790746,149.278274
1602035596848.231,0.857035,7.290091,165.609169
1602035596865.7742,2.183426,4.705947,183.15235
1602035596882.7417,1.523896,4.834629,200.120087
1602035596899.9512,1.880225,5.031999,217.329437
1602035596915.3687,0.051705,9.535527,232.746897
1602035596931.4377,0.755225,2.384843,248.816023
1602035596950.1038,3.25202,7.178073,267.481968
1602035596965.506,0.059039,5.796998,282.884271
1602035596982.6213,1.852696,6.98966,299.999725
1602035596999.0178,1.101235,4.725438,316.396071
1602035597015.8457,1.527992,6.744582,333.223938
1602035597032.2996,1.339293,6.624401,349.677782
1602035597049.8706,2.506057,5.380581,367.248839
1602035597065.2537,0.052781,5.986256,382.631829
1602035597081.409,1.039029,4.411916,398.787118
1602035597099.6396,3.045696,7.756396,417.01788
1602035597115.047,0.048586,5.465732,432.425289
1602035597132.7334,2.531617,5.391082,450.111576
1602035597148.1553,0.058216,4.42354,465.53368
1602035597165.7732,2.473768,5.848583,483.151652
1602035597181.1592,0.055358,4.388332,498.537435
1602035597198.7676,2.448794,7.737637,516.145756
1602035597216.71,2.616104,6.32182,534.088011
1602035597232.1802,0.053983,5.490779,549.558436
1602035597247.8726,0.580008,4.658549,565.25062
1602035597265.472,2.458033,5.539461,582.850275
1602035597281.1877,0.259992,4.215851,598.566133
1602035597298.8584,2.523301,5.485027,616.236761
1602035597314.5168,0.203651,6.363792,631.894968
1602035597332.575,2.927061,6.077245,649.95312
1602035597347.9983,0.078914,3.914604,665.376471
1602035597365.7004,2.584501,5.587459,683.078487
1602035597381.1582,0.081093,5.231133,698.5363
1602035597399.9563,3.641331,5.179316,717.334429
1602035597415.3384,0.048751,5.498187,732.716698
1602035597431.449,0.977285,4.55513,748.8272
1602035597449.0054,2.451226,7.84143,766.383503
1602035597464.538,0.204507,3.952014,781.916277
1602035597481.328,1.668309,4.829319,798.706128
1602035597498.9812,2.49505,5.625683,816.359267
1602035597514.5557,0.131576,4.217783,831.93386
1602035597532.0806,2.410993,7.624722,849.458747
1602035597548.0547,0.642693,4.34618,865.433114
1602035597565.6536,2.48036,5.450907,883.031708
1602035597581.3142,0.296761,4.663842,898.692522
1602035597598.872,2.41527,5.60212,916.250332
1602035597616.7295,2.568855,6.833064,934.107898
1602035597632.1304,0.061686,5.421678,949.50861
1602035597648.0393,0.764625,4.442564,965.417587
1602035597665.6316,2.455807,7.67258,983.009792
1602035597683.5483,2.598834,6.219204,1000.926683
1602035597698.9785,0.062634,5.475371,1016.356819
1602035597716.5215,2.426648,7.935632,1033.899584
1602035597731.9138,0.046505,5.460895,1049.29191
1602035597749.6804,2.615064,5.728479,1067.058679
2.521597,0.055515,4.319318,1082.486774
5.111818,2.47491,7.980078,1100.10687
3.560632,0.047956,4.405762,1115.520237
4.144319,2.446389,5.630948,1133.097501
6.021229,2.503379,7.796997,1150.953309
2.360472,0.049005,5.520962,1166.34512
4.984978,2.479998,8.035217,1183.969113
1.386154,0.046598,5.482008,1199.345773
5.060754,2.499615,5.212058,1216.983893
1.409459,0.061776,5.47466,1232.389187
6.10421,2.526694,5.793668,1250.055153
1.511166,0.100461,5.563034,1265.495476
4.119274,2.481631,3.876054,1283.133132
1.851583,0.341383,5.820085,1298.841753
4.715848,2.495651,5.895151,1316.727761
1.221099,0.119308,5.577116,1332.203164
5.888241,2.474813,5.383432,1349.812803
3.654327,2.468151,7.885982,1367.616131
4.051409,0.04721,5.467067,1382.996562
3.755429,2.596292,5.965235,1400.703722
3.149194,0.066664,5.464093,1416.084238
5.795103,2.48776,8.031103,1433.718155
2.170395,0.047075,5.516682,1449.128223
5.825887,2.49724,5.8367,1466.77984
2.455592,0.24665,5.580472,1482.384318
7.05801,2.508683,5.593861,1500.012225
2.693749,0.330563,5.768916,1515.705674
5.414865,2.551298,5.713883,1533.37138
3.077316,0.275919,5.591081,1549.003007
3.674503,2.480231,5.627948,1566.627516
6.433,2.478597,7.914984,1584.461948
2.890247,0.051006,5.490694,1599.844876
5.535344,2.520673,5.675294,1617.490373
1.904385,0.049281,7.602201,1632.895216
5.533521,2.482138,5.890197,1650.524032
1.996214,0.088679,5.542312,1665.961641
6.637377,2.480395,5.628208,1683.566757
2.026876,0.049001,5.506641,1698.976597
4.626938,2.451532,7.752349,1716.580676
4.617809,2.633224,6.489811,1734.576884
1.049818,0.05589,5.462667,1750.015136
5.683231,2.486271,7.990074,1767.617783
3.08769,0.055498,5.518854,1783.048635
5.678118,2.469779,7.971793,1800.635973
3.099481,0.060725,3.758007,1816.058059
3.711792,2.481627,5.807265,1833.704097
3.106371,0.049793,5.509912,1849.084013
3.700565,2.491659,7.732929,1866.718078
4.580476,2.477821,6.183939,1884.537193
1.886993,0.042225,5.436952,1899.907781
4.483904,2.451362,7.966353,1917.469086
1.897001,0.05018,5.495304,1932.883311
5.537601,2.515682,7.755599,1950.529382
2.937793,0.063232,5.505906,1965.926962
4.607997,2.474959,5.732564,1983.563167
4.192163,0.258766,5.733453,1999.182463
3.902484,2.491627,5.446481,2016.828135
2.613865,0.359539,5.857058,2032.580197
5.205488,2.465695,5.671624,2050.189054
3.944742,0.318451,5.781838,2065.867376
4.743826,2.484383,5.726738,2083.702578
2.237598,0.144919,5.594584,2099.222472
4.857504,2.494633,7.800412,2116.847642
4.707142,2.495499,6.338771,2134.683595
3.184032,0.082726,7.519332,2150.142422
3.790991,2.470185,5.873319,2167.739747
4.222036,0.064797,5.530292,2183.146033
3.787835,2.470999,8.008339,2200.741588
2.224345,0.075316,3.796508,2216.185038
4.824344,2.455861,7.903816,2233.779887
2.291918,0.154835,5.581452,2249.28065
3.95272,2.495596,5.651466,2266.906656
5.843021,2.494415,7.831976,2284.773071
1.219925,0.064397,5.520457,2300.178116
4.773455,2.460405,7.988121,2317.764099
1.190046,0.062472,5.514462,2333.164812
4.884089,2.507842,7.776949,2350.811251
3.23068,0.067194,5.527222,2366.223014
3.885834,2.485833,5.782907,2383.842111
1.33573,0.106538,5.557202,2399.291053
4.222466,2.742643,7.784783,2417.17859
1.740958,0.176768,5.631634,2432.696812
4.313631,2.457836,5.603626,2450.27381
5.035144,2.419996,7.823045,2468.02049
2.442888,0.0564,5.337551,2483.430254
4.990608,2.448915,7.946213,2500.985296
2.392602,0.042028,5.451592,2516.354038
5.010938,2.503822,7.979166,2533.941618
2.54622,0.179674,5.48536,2549.474909
5.078534,2.477733,5.646497,2567.102778
2.781018,0.301503,5.717579,2582.739319
3.314998,2.435901,7.70347,2600.293553
4.207412,2.48783,7.824194,2618.167543
1.619071,0.044201,5.490219,2633.577697
4.185886,2.451762,7.997782,2651.173578
4.645906,0.043763,5.477629,2666.579774
4.242347,2.464609,5.645913,2684.196551
3.608317,0.04239,7.55379,2699.569865
4.206512,2.448436,5.655218,2717.169284
1.808016,0.286536,5.700458,2732.800407
4.699052,2.742858,7.778276,2750.713096
1.181425,0.139382,5.572489,2766.17881
4.723674,2.422017,5.547238,2783.713574
3.544643,2.471602,7.868658,2801.508982
1.982674,0.056036,7.486089,2816.915303
5.431768,2.42875,5.784042,2834.456052
1.860796,0.043912,7.553075,2849.831332
4.428302,2.458506,5.806503,2867.444455
2.932531,0.099765,5.418238,2882.893093
5.578582,2.505861,7.76339,2900.506596
6.394069,2.451941,7.945591,2918.321267
3.718664,0.04166,5.485054,2933.690095
6.369926,2.485847,7.727814,2951.299364
1.71664,0.043936,5.531847,2966.701466
5.334929,2.457672,7.984764,2984.302141
1.746231,0.04285,5.525068,2999.708768
5.553391,2.652534,7.774468,3017.51272
2.951913,0.042943,5.512928,3032.918326
5.48884,2.446376,7.716996,3050.480455
4.344188,2.492001,6.343034,3068.32627
2.806639,0.058851,7.477995,3083.740109
4.325309,2.457077,7.961009,3101.310025
3.769024,0.052399,5.498096,3116.727362
5.417856,2.474487,8.02666,3134.347998
3.816625,0.05557,5.381703,3149.754607
4.378453,2.465372,5.620301,3167.338651
4.042417,0.299116,5.765605,3182.997567
4.628154,2.444358,7.73805,3200.557033
5.47997,2.489212,7.731392,3218.424808
1.883305,0.048569,7.640996,3233.845057
5.516285,2.458,5.859536,3251.455608
1.769311,0.049167,7.555501,3266.791612
6.450308,2.463746,7.715969,3284.388683
1.801148,0.043866,5.423764,3299.763316
4.447042,2.461791,5.664706,3317.379269
4.171322,2.45994,10.004304,3335.168053
2.613291,0.059723,5.374696,3350.581397
3.174497,2.483216,7.910497,3368.141943
2.51097,0.049264,7.572876,3383.523947
3.104139,2.445076,5.820042,3401.081135
1.619541,0.131517,7.525991,3416.563872
5.185065,2.469752,5.570674,3434.151964
4.933205,2.445975,7.849402,3451.930321
3.327914,0.057933,7.578674,3467.324291
4.019747,2.521749,7.802305,3484.982013
0.432218,0.076053,5.487875,3500.402913
4.027982,2.477395,7.989037,3518.025495
2.42995,0.044035,7.586854,3533.427145
5.069215,2.456168,5.483861,3551.01832
2.576941,0.185464,7.745274,3566.570507
5.169439,2.484677,5.6056,3584.129451
4.923061,2.448609,7.917152,3601.939958
3.401241,0.050762,7.47584,3617.338875
3.951219,2.465396,7.894622,3634.916758
8.338904,7.050786,14.554272,3657.301952
2.532315,0.073302,29.807759,3672.555439
1.79611,0.090193,9.740291,3687.766756
1.987288,0.057185,9.774035,3702.975649
2.166633,0.043662,7.634727,3718.129732
2.350512,0.047349,5.544558,3733.285645
5.315105,2.833832,7.866384,3751.256965
2.647657,0.050669,5.462702,3766.636389
4.188799,2.430415,7.691978,3784.176312
5.019929,2.45243,7.866861,3801.991016
2.444736,0.064472,7.457175,3817.416704
4.998149,2.461191,7.876261,3834.986493
1.36585,0.043517,5.443443,3850.359537
3.914226,2.449254,7.911416,3867.918473
1.459713,0.122914,5.304059,3883.397935
6.180029,2.574667,7.828624,3901.132302
1.761375,0.232903,5.696995,3916.725141
4.342736,2.461642,7.757761,3934.330804
3.225369,2.517472,7.692466,3952.194274
3.57933,0.051198,7.561271,3967.578722
6.188469,2.456788,7.923553,3985.145603
1.547536,0.039448,7.543694,4000.513343
5.230222,2.522192,7.770548,4018.167543
1.581081,0.048171,5.489852,4033.545636
5.092555,2.412316,7.66634,4051.064947
5.861268,2.448843,7.842283,4068.827786
2.255864,0.060862,7.4409,4084.203444
5.819972,2.49509,7.889428,4101.848806
3.290447,0.0586,7.620166,4117.268194
3.869327,2.482105,7.970767,4134.894806
2.350949,0.0579,5.257966,4150.293948
4.967707,2.517388,7.752896,4167.932198
2.459824,0.17295,5.588039,4183.45956
5.061595,2.451393,7.734789,4201.059575
3.938808,2.477577,9.887519,4218.88603
1.285703,0.055041,5.485862,4234.280923
3.819648,2.420129,7.830762,4251.810385
4.196622,0.039888,7.54597,4267.178049
4.046704,2.666958,7.900149,4284.988993
0.435627,0.048928,5.427163,4300.375699
6.009365,2.490894,7.822631,4317.996886
2.49198,0.161799,7.693979,4333.490636
6.536329,2.830304,7.845037,4351.478615
2.932945,0.054957,5.502085,4366.902616
4.459797,2.472774,7.686253,4384.464651
5.294633,2.474777,7.908736,4402.266108
1.671053,0.061126,7.46412,4417.676657
5.202834,2.444653,7.906618,4435.231928
1.608017,0.043708,7.545844,4450.607876
4.275337,2.503331,7.948479,4468.244383
1.70993,0.062718,5.32736,4483.690992
4.309837,2.477002,7.724766,4501.285561
4.102666,2.458329,7.890391,4519.104626
3.446001,0.045105,7.4914,4534.43328
4.162331,2.538319,10.007844,4552.134757
1.547826,0.051851,5.473637,4567.517601
6.11743,2.428939,7.89886,4585.059751
2.491116,0.047367,7.584758,4600.468816
5.396403,2.715539,7.80999,4618.359331
2.743029,0.051393,5.451177,4633.745566
3.36278,2.446825,7.726781,4651.338648
5.217272,2.486706,10.049226,4669.187069
1.627164,0.065737,7.459727,4684.595354
6.161654,2.458726,7.926642,4702.166026
2.571897,0.043378,7.614078,4717.569928
5.089526,2.444447,7.90689,4735.126094
1.639267,0.086946,5.325726,4750.579418
4.249773,2.480271,7.808846,4768.218975
0.725487,0.175488,7.714397,4783.72641
4.270785,2.453304,7.706055,4801.3029
5.25594,2.533591,7.750358,4819.203051
1.59786,0.070573,7.583276,4834.625779
5.255646,2.465175,7.954777,4852.219984
2.6299,0.046878,7.587808,4867.603394
4.492715,2.707096,7.936552,4885.443942
1.894341,0.056095,7.61414,4900.870454
4.487657,2.451346,7.940931,4918.471425
1.870653,0.043808,7.599103,4933.869631
4.77376,2.700267,7.164722,4951.722193
3.227742,0.143921,7.655718,4967.199876
5.808429,2.418992,7.670229,4984.777749
4.492991,2.414226,7.810428,5002.520244
0.967609,0.052687,7.429553,5017.914883
4.574215,2.506114,7.962324,5035.54935
2.918131,0.052038,7.5966,5050.931701
4.48738,2.481897,7.943853,5068.526812
3.068349,0.11511,7.5601,5084.018768
3.657654,2.487497,7.762683,5101.654753
4.372466,0.34407,5.804786,5117.351476
3.995184,2.472615,7.768356,5134.967318
2.714199,0.195873,7.732681,5150.66635
6.255928,2.491416,7.713248,5168.282848
5.029744,2.424451,7.8339,5186.034723
3.400304,0.040431,7.537108,5201.403438
6.347617,2.748386,10.17693,5219.29207
2.665657,0.04597,7.518618,5234.670865
5.294166,2.480137,7.962259,5252.296541
2.696575,0.046986,7.600959,5267.700714
5.361507,2.480598,7.820576,5285.311216
1.709373,0.054353,7.577078,5300.745066
6.300086,2.442427,7.672377,5318.303998
4.069667,2.413413,7.824227,5336.042032
0.524185,0.07218,7.481382,5351.496299
4.132538,2.482356,10.048354,5369.1373
2.492946,0.05272,7.534221,5384.476492
5.070464,2.449991,7.954126,5402.069697
2.519713,0.059416,6.662567,5417.471913
5.07221,2.443173,7.679113,5435.040712
3.213732,0.821724,8.347745,5451.219329
4.021932,2.44808,7.838147,5468.998907
3.427579,0.066031,7.428497,5484.411316
4.025714,2.470054,7.887207,5502.006813
2.420064,0.060658,7.576024,5517.402186
4.02763,2.480326,7.730188,5535.03255
4.898367,2.46556,7.734844,5552.847413
2.306165,0.05837,7.613391,5568.282815
4.805545,2.374763,9.974469,5585.802771
1.237338,0.044621,7.548451,5601.181399
4.892834,2.49981,7.877398,5618.850134
1.27064,0.051321,7.574235,5634.244661
4.890948,2.455721,7.751013,5651.831431
2.427558,0.261914,5.668138,5667.427397
5.678543,3.088093,10.325232,5685.678797
2.127651,0.056434,5.472517,5701.071006
5.710871,2.505864,10.053344,5718.723286
2.212084,0.155862,5.582886,5734.207728
5.150603,2.756364,7.869179,5752.099652
2.53873,0.100544,7.61505,5767.551741
5.175466,2.512426,7.73765,5785.186384
3.984719,2.481839,9.981544,5803.002517
2.489916,0.059922,7.459352,5818.437635
3.974388,2.421365,9.969194,5835.978907
2.38638,0.050252,7.589409,5851.396555
5.039524,2.4812,7.974046,5869.021221
2.501057,0.079326,7.505665,5884.453913
5.133057,2.531635,7.802672,5902.112342
1.599811,0.162845,7.677489,5917.603884
6.221691,2.449463,7.708508,5935.19939
4.011009,2.474702,9.905196,5953.021339
2.414865,0.07914,7.551632,5968.400675
4.010093,2.497668,7.950681,5986.043367
3.448269,0.04377,7.575865,6001.414631
6.251912,2.624812,10.08165,6019.197686
2.57233,0.049389,7.527385,6034.582734
6.202096,2.484827,7.734201,6052.213924
2.744078,0.177479,7.700994,6067.719262
4.63642,2.720784,7.838408,6085.590257
3.096101,0.133523,7.669265,6101.094612
3.857233,2.611606,7.792847,6118.864241
2.421474,0.176989,7.716907,6134.400503
6.3035,2.705811,7.848255,6152.257522
1.782585,0.165035,7.718901,6167.75771
5.318577,2.46626,7.686047,6185.340233
4.173649,2.4888,10.03373,6203.155591
2.623209,0.064395,7.48953,6218.571567
4.155482,2.439795,9.983354,6236.130858
2.522173,0.040132,7.544034,6251.499756
4.083101,2.458753,7.900615,6269.060524
2.558602,0.09799,7.536934,6284.511363
5.295713,2.629866,7.859816,6302.306663
2.73061,0.045786,7.606501,6317.71375
4.299783,2.466737,7.71985,6335.32984
5.189275,2.472833,9.884738,6353.151816
2.570064,0.053765,7.572039,6368.547037
5.151038,2.467556,10.006415,6386.127431
1.489747,0.041634,7.55337,6401.50013
5.281434,2.579286,7.88321,6419.230967
1.618915,0.051514,7.55298,6434.597872
6.272674,2.500328,7.716655,6452.252009
1.870047,0.275539,7.812273,6467.856032
5.004857,2.938036,10.173267,6485.962055
2.334148,0.050542,7.580314,6501.343673
4.959939,2.521872,7.7294,6518.975018
1.594649,0.298315,7.807865,6534.603257
5.468036,2.654382,7.816413,6552.419613
3.010247,0.230914,7.789124,6568.021036
5.685186,2.543807,7.703977,6585.684409
2.300694,0.233793,7.812154,6601.279606
5.523075,3.002824,10.282764,6619.472866
2.842603,0.046509,7.604532,6634.852357
3.447391,2.486296,7.858139,6652.435562
2.868344,0.083423,7.612432,6667.846549
4.01332,2.512099,8.058506,6685.968114
2.394568,0.046438,7.626334,6701.377227
6.277042,2.728869,10.042889,6719.260382
2.722562,0.051887,7.62799,6734.671848
5.565113,2.755332,7.897104,6752.581642
4.006116,0.05349,7.600948,6768.011865
3.548103,2.461095,7.684692,6785.589123
5.436871,2.46334,10.033179,6803.414692
1.915038,0.095331,7.535972,6818.873277
4.437047,2.439196,10.037213,6836.441127
3.851042,0.045955,7.60159,6851.850246
5.39735,2.398367,10.008741,6869.406388
2.911504,0.065752,7.525945,6884.861561
4.495112,2.499848,7.772395,6902.486388
1.108208,0.291389,7.782351,6918.082532
4.827085,2.633818,10.002216,6935.831413
3.560596,0.333849,7.757066,6951.514474
4.094926,2.447867,7.68721,6969.089464
1.733039,0.295113,7.820537,6984.719484
4.315155,2.491909,7.726835,7002.331222
3.246072,0.253547,7.925335,7018.205406
3.92567,1.54079,9.399649,7034.899284
4.497941,2.470547,7.779016,7052.473221
3.154645,0.294252,7.820556,7068.101527
5.194045,2.888467,8.048538,7086.145712
1.61893,0.089303,7.53931,7101.567438
4.550276,2.823128,10.083089,7119.514575
3.885621,0.041135,7.579152,7134.897674
4.611741,1.538779,6.654489,7151.568073
3.266065,1.56605,8.978174,7168.280151
5.346871,2.976868,10.147508,7186.365252
1.745235,0.040246,7.570207,7201.734613
4.759785,2.827961,8.031475,7219.712699
3.100751,0.05226,7.675867,7235.108261
5.913347,2.656104,10.053818,7252.89732
2.286509,0.061306,7.632199,7268.323299
4.282399,1.771779,9.169062,7285.238319
3.736862,1.364755,7.744713,7301.730253
5.381717,2.458074,7.748361,7319.336234
1.976072,0.229835,7.803947,7334.926846
5.010298,2.907244,10.317922,7352.984713
2.295313,0.055135,7.591942,7368.378549
4.996659,2.496823,7.797534,7386.019241
1.529478,0.18674,7.711758,7401.53927
2.972849,0.251282,9.579873,7418.937689
3.66332,2.464534,8.255997,7436.717441
3.054167,0.037933,7.575484,7452.10218
5.716339,2.520222,10.090238,7469.73384
1.588602,0.074881,8.901933,7486.550247
2.690188,0.067895,8.993705,7501.739567
4.650245,2.812874,9.99444,7519.697812
3.024577,0.047686,7.603035,7535.074084
3.839598,2.564422,7.764327,7552.796973
3.357831,0.206964,7.711343,7568.355353
4.031212,2.511863,9.915043,7586.017063
5.788884,2.47763,9.983812,7603.813521
2.470777,0.194551,7.723552,7619.428525
3.143105,2.423244,10.286555,7637.183831
3.542586,0.042782,9.800907,7652.556357
6.063004,2.39319,9.97971,7670.06208
1.555245,0.086773,7.546695,7685.510144
5.095786,2.414877,9.992626,7703.047822
1.43785,0.043836,7.604089,7718.420466
4.04172,2.444042,7.767191,7736.024204
5.943149,2.496474,10.097542,7753.906464
2.284193,0.094023,9.749464,7769.340771
5.831887,2.398064,10.040346,7786.878126
3.291082,0.049966,7.58358,7802.263207
6.116739,2.653645,10.291767,7820.07794
2.477514,0.051786,7.587488,7835.465275
5.161132,2.607009,10.090306,7853.177683
1.576589,0.047575,7.633326,7868.596808
1.032704,0.092702,10.671558,7886.995277
2.229457,0.061534,7.607341,7902.182537
4.711972,2.436338,9.992132,7919.732687
2.221007,0.105092,7.657381,7935.203443
5.31028,2.906505,10.326568,7953.273695
1.717874,0.057633,7.60338,7968.703465
5.526834,2.688993,10.024662,7986.544478
1.961046,0.040028,7.567607,8001.913039
3.985856,2.791331,10.266678,8019.945664
3.370191,0.092182,7.629306,8035.380458
4.047511,2.556111,7.852972,8053.063864
2.512239,0.097182,9.814467,8068.489309
6.587317,2.913086,8.027183,8086.546813
2.948687,0.058887,7.604099,8101.972826
3.674381,2.572075,9.980137,8119.692895
3.265792,0.237094,7.796029,8135.258977
3.111718,1.7498,9.135948,8152.141726
4.850971,2.55739,9.978567,8169.833094
4.319033,0.106062,7.69694,8185.304196
3.878786,2.451445,7.760516,8202.901977
5.802522,2.485163,10.114744,8220.762843
2.11804,0.081378,9.80014,8236.197475
3.717693,2.452607,10.058692,8253.768956
3.180898,0.069299,9.844629,8269.180226
6.084003,2.719721,8.137317,8287.041985
2.482875,0.050791,9.995337,8302.437339
4.028439,2.394756,10.021023,8319.983983
2.372646,0.044139,7.600827,8335.358385
6.190254,3.636459,8.853103,8354.161874
4.63616,0.056382,9.826963,8369.589438
4.191338,2.408314,10.037806,8387.142822
2.538247,0.046493,9.815556,8402.52666
4.730183,1.357098,7.429208,8419.696079
4.294979,2.454266,12.138855,8437.275843
3.635718,0.044204,7.600131,8452.646891
5.246009,2.440425,10.027872,8470.198765
2.797086,0.207505,7.807056,8485.767187
4.627678,2.652968,10.066541,8503.585779
3.977345,0.049585,9.816362,8518.964875
4.576565,2.492444,7.874708,8536.567116
1.240592,0.273229,7.839429,8552.210632
6.190483,2.796317,10.087905,8570.148278
1.525916,0.04093,9.76864,8585.519355
5.025782,2.463755,7.738873,8603.079776
3.935281,2.465074,12.25158,8620.89908
3.323787,0.049155,7.573891,8636.284073
4.818961,2.410263,9.982562,8653.814404
3.144334,0.054446,9.785829,8669.200457
4.032957,2.660037,10.303856,8687.013436
3.422358,0.059279,7.57696,8702.414826
4.11062,2.615749,10.05712,8720.166466
3.609083,0.079436,7.650287,8735.603118
5.774284,2.932953,10.423398,8753.744885
2.217912,0.080316,7.711474,8769.173583
4.750478,2.430642,10.023374,8786.734944
1.265676,0.150504,9.928928,8802.222825
5.121453,2.734189,8.033166,8820.110487
2.63092,0.168528,9.895056,8835.648906
5.328055,2.497869,7.829026,8853.29056
4.004482,2.424866,12.182065,8871.045783
3.666568,0.229805,7.802441,8886.63419
4.206005,2.43668,12.130503,8904.166986
2.550397,0.045534,7.603273,8919.538416
5.060399,2.367057,9.949546,8937.016494
2.428956,0.095279,9.869024,8952.479848
5.275202,2.666672,10.044225,8970.259321
3.684435,0.045369,7.640511,8985.682149
6.427535,2.652234,10.052866,9003.482208
3.155771,0.279742,7.867816,9019.124888
4.866449,2.57959,9.895786,9036.828844
3.38993,0.139065,7.713014,9052.347708
4.12762,2.613225,10.004246,9070.112684
3.807239,0.298556,10.069692,9085.783139
4.381878,2.500247,7.715823,9103.40911
3.056014,0.271765,10.015087,9119.047193
5.939915,2.549888,10.138213,9136.965892
2.350509,0.114877,8.523747,9153.313545
5.064898,2.596374,10.150517,9171.026308
2.428178,0.074266,9.786413,9186.452163
4.011563,2.443394,10.026286,9204.031935
3.401738,0.078676,9.817752,9219.437534
6.126461,2.531509,9.992573,9237.099284
2.52882,0.058669,7.562808,9252.492046
5.185988,2.579597,9.949186,9270.187139
2.923335,0.343677,7.901945,9285.900928
5.734447,2.740795,10.043787,9303.758404
4.145934,0.044038,9.747033,9319.136768
3.993158,2.703485,10.070735,9336.981126
2.645598,0.344893,7.894791,9352.688258
5.434437,2.560107,10.029052,9370.394415
0.831438,0.070658,9.815542,9385.830471
4.573141,2.651324,10.021407,9403.633958
4.297705,0.276219,7.856038,9419.273993
5.105262,2.682606,9.971884,9437.06491
1.534471,0.134496,7.684118,9452.560282
6.329041,2.708354,10.061131,9470.386917
3.892638,0.205353,9.962908,9485.951109
4.453275,2.43229,7.632911,9503.488437
4.198747,2.404886,12.103659,9521.223715
2.562819,0.043082,9.769476,9536.599447
6.514061,2.777236,10.386311,9554.534196
2.939759,0.072384,9.725325,9569.93705
5.397861,2.382233,9.962662,9587.431022
3.793864,0.042888,7.584599,9602.833588
10.142633,5.56617,13.680597,9624.11339
1.464858,0.048773,12.647258,9639.529158
2.699939,0.054466,14.304049,9654.695665
2.837252,0.048465,7.656013,9669.889369
4.654591,2.644925,10.25219,9687.683873
3.107469,0.051254,7.585149,9703.096199
3.753747,2.6151,12.270359,9720.822984
1.204181,0.038584,7.52447,9736.188626
4.683567,2.449336,10.812476,9754.680761
3.107363,0.051414,9.719333,9770.07819
4.758694,2.531308,12.222544,9787.758193
1.159536,0.058805,7.629856,9803.142564
4.274649,2.978051,10.557657,9821.26957
1.642565,0.047146,9.740035,9836.649975
4.258493,2.522234,10.07406,9854.285796
2.65865,0.046757,9.754708,9869.666729
5.735314,2.969978,10.481732,9887.776662
2.194088,0.051189,7.559367,9903.194361
5.756239,2.472151,12.169882,9920.815557
2.106192,0.042664,7.578082,9936.186797
3.804309,1.497984,8.920357,9952.845611
4.796147,1.870259,12.920267,9969.82324
5.513863,2.612768,7.714823,9987.539312
2.847984,0.042864,9.760126,10002.912556
6.186572,2.926008,10.542103,10021.218086
2.63554,0.052817,7.511188,10036.607936
4.436289,2.719244,12.369205,10054.444082
0.827332,0.045423,9.80269,10069.849171
5.1544,2.729619,10.77698,10088.178943
2.500902,0.052527,7.814008,10103.526954
5.029653,2.413368,12.0651,10121.058236
1.469044,0.061197,9.767536,10136.462727
4.288051,2.663108,10.244048,10154.277117
3.698286,0.049256,7.552053,10169.664297
6.432858,2.639973,12.108527,10187.439345
2.823609,0.047653,7.554724,10202.815032
6.108775,3.104779,10.455295,10221.073251
3.461069,0.048771,9.776327,10236.451381
4.026344,2.497676,10.015967,10254.064621
4.546184,0.143506,9.883011,10269.567224
4.412684,2.738935,10.124642,10287.459889
2.920397,0.073087,7.547289,10302.886893
5.626873,2.672316,12.103879,10320.681738
2.264214,0.222641,7.756993,10336.25187
5.543496,3.184338,12.63205,10354.576392
1.980055,0.123759,7.595583,10370.036819
5.517044,2.417013,12.09911,10387.561741
1.932291,0.041652,7.622602,10402.955156
7.313921,3.230747,12.641642,10421.310937
2.710832,0.050033,5.401958,10436.696571
5.267018,2.395472,12.091464,10454.2656
