Run Name,CPU Power,GPU Power,DDR Power,SOC Power,SYS Power
materials-jetsonlp,1.06491,0.844059,0.46626,1.42598,2.32083
demo-desktop,25.732959992589105,191.79484962406022,1.4114743148389843,,
materials-desktop,29.68580893257122,200.67596153846165,1.4100880488719298,,
demo-jetsonhp,4.46613,5.15091,0.687809,1.56524,2.4930700000000003
demo-jetsonlp,1.10993,0.83101,0.475754,1.43429,2.34435
sponza-jetsonhp,5.285699999999999,5.82056,0.7448579999999999,1.6001500000000002,2.51224
sponza-desktop,32.432108695418506,192.5238181818181,1.4602476662615413,,
platformer-desktop,32.432108695418506,192.5238181818181,1.4602476662615413,,
platformer-jetsonlp,1.08752,0.80189,0.455398,1.4154,2.324
platformer-jetsonhp,4.70706,5.46318,0.788104,1.62802,2.51655
materials-jetsonhp,4.74119,5.5794,0.7890170000000001,1.62331,2.52267
sponza-jetsonlp,1.08752,0.80189,0.455398,1.4154,2.324
